init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
1,0.5,0.8,9.5,L0,2.4,0
,,,,,,
1,0.5,0.8,9.5,L50,2.7,0.4
,,,,,,
1,0.5,0.8,9.5,L100,2.2,0.3
,,,,,,
1,0.5,0.8,10,L0,2,0.6
,,,,,,
1,0.5,0.8,10,L50,3.8,0.1
,,,,,,
1,0.5,0.8,10,L100,3.1,0
,,,,,,
1,0.5,0.9,2,L0,1.8,0.2
,,,,,,
1,0.5,0.9,2,L50,1.7,0.2
,,,,,,
1,0.5,0.9,2,L100,1.5,0
,,,,,,
1,0.5,0.9,2.5,L0,2.2,0.2
,,,,,,
1,0.5,0.9,2.5,L50,1.8,0.6
,,,,,,
1,0.5,0.9,2.5,L100,1.1,0.1
,,,,,,
1,0.5,0.9,3,L0,2,0.1
,,,,,,
1,0.5,0.9,3,L50,2,0.6
,,,,,,
1,0.5,0.9,3,L100,1.2,0
,,,,,,
1,0.5,0.9,3.5,L0,1.7,0.3
,,,,,,
1,0.5,0.9,3.5,L50,2.2,0.2
,,,,,,
1,0.5,0.9,3.5,L100,1.8,0.1
,,,,,,
1,0.5,0.9,4,L0,2.5,0.3
,,,,,,
1,0.5,0.9,4,L50,2.1,0.3
,,,,,,
1,0.5,0.9,4,L100,2.1,0.3
,,,,,,
1,0.5,0.9,4.5,L0,2.8,0.1
,,,,,,
1,0.5,0.9,4.5,L50,3.4,0.6
,,,,,,
1,0.5,0.9,4.5,L100,1.5,0.4
,,,,,,
1,0.5,0.9,5,L0,1.9,0.2
,,,,,,
1,0.5,0.9,5,L50,2.5,0
,,,,,,
1,0.5,0.9,5,L100,2.9,0.5
,,,,,,
1,0.5,0.9,5.5,L0,2.9,0.2
,,,,,,
1,0.5,0.9,5.5,L50,2.8,0.3
,,,,,,
1,0.5,0.9,5.5,L100,1.8,0.3
,,,,,,
1,0.5,0.9,6,L0,2.5,0.2
,,,,,,
1,0.5,0.9,6,L50,2.6,0.5
,,,,,,
1,0.5,0.9,6,L100,1.9,0.5
,,,,,,
1,0.5,0.9,6.5,L0,2.7,0.2
,,,,,,
1,0.5,0.9,6.5,L50,2.8,0.3
,,,,,,
1,0.5,0.9,6.5,L100,3.1,0.1
,,,,,,
1,0.5,0.9,7,L0,3.4,0.3
,,,,,,
1,0.5,0.9,7,L50,3.6,0.7
,,,,,,
1,0.5,0.9,7,L100,2.6,0
,,,,,,
1,0.5,0.9,7.5,L0,2.6,0.4
,,,,,,
1,0.5,0.9,7.5,L50,3.4,0.3
,,,,,,
1,0.5,0.9,7.5,L100,2.3,0.1
,,,,,,
1,0.5,0.9,8,L0,3.2,0.5
,,,,,,
1,0.5,0.9,8,L50,1.7,0.7
,,,,,,
1,0.5,0.9,8,L100,2.8,0.3
,,,,,,
1,0.5,0.9,8.5,L0,3.5,0.2
,,,,,,
1,0.5,0.9,8.5,L50,3,0.3
,,,,,,
