init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
1,0.5,0.7,4,L0,4.08,0.08
1,0.5,0.7,4,L50,2.44,0.04
1,0.5,0.7,4,L100,2.08,0.16
1,0.5,0.7,5,L0,4.0,0.08
1,0.5,0.7,5,L50,5.52,0.28
1,0.5,0.7,5,L100,4.48,0.24
1,0.5,0.7999999999999999,4,L0,4.36,0.2
1,0.5,0.7999999999999999,4,L50,3.56,0.4
1,0.5,0.7999999999999999,4,L100,1.96,0.08
1,0.5,0.7999999999999999,5,L0,4.88,0.16
1,0.5,0.7999999999999999,5,L50,3.88,0.04
1,0.5,0.7999999999999999,5,L100,2.96,0.16
1,0.5,0.8999999999999999,4,L0,4.12,0.0
1,0.5,0.8999999999999999,4,L50,2.52,0.32
1,0.5,0.8999999999999999,4,L100,2.36,0.2
1,0.5,0.8999999999999999,5,L0,9.32,0.68
1,0.5,0.8999999999999999,5,L50,2.88,0.0
1,0.5,0.8999999999999999,5,L100,2.36,0.12
1,1.0,0.7,4,L0,2.52,0.08
1,1.0,0.7,4,L50,2.2,0.32
1,1.0,0.7,4,L100,2.76,0.16
1,1.0,0.7,5,L0,3.12,0.12
1,1.0,0.7,5,L50,2.88,0.08
1,1.0,0.7,5,L100,2.84,0.12
1,1.0,0.7999999999999999,4,L0,2.68,0.12
1,1.0,0.7999999999999999,4,L50,2.52,0.04
1,1.0,0.7999999999999999,4,L100,1.8,0.2
1,1.0,0.7999999999999999,5,L0,3.16,0.16
1,1.0,0.7999999999999999,5,L50,3.36,0.08
1,1.0,0.7999999999999999,5,L100,2.04,0.32
1,1.0,0.8999999999999999,4,L0,2.88,0.08
1,1.0,0.8999999999999999,4,L50,2.28,0.12
1,1.0,0.8999999999999999,4,L100,3.04,0.24
1,1.0,0.8999999999999999,5,L0,2.64,0.0
1,1.0,0.8999999999999999,5,L50,2.64,0.04
1,1.0,0.8999999999999999,5,L100,2.48,0.2
2,0.5,0.7,4,L0,3.16,0.12
2,0.5,0.7,4,L50,2.44,0.12
2,0.5,0.7,4,L100,2.48,0.08
2,0.5,0.7,5,L0,5.6,0.12
2,0.5,0.7,5,L50,2.64,0.08
2,0.5,0.7,5,L100,8.12,0.96
2,0.5,0.7999999999999999,4,L0,5.08,0.24
2,0.5,0.7999999999999999,4,L50,2.48,0.0
2,0.5,0.7999999999999999,4,L100,1.68,0.2
2,0.5,0.7999999999999999,5,L0,3.44,0.04
2,0.5,0.7999999999999999,5,L50,4.08,0.12
2,0.5,0.7999999999999999,5,L100,2.32,0.12
2,0.5,0.8999999999999999,4,L0,4.64,0.28
2,0.5,0.8999999999999999,4,L50,2.08,0.12
2,0.5,0.8999999999999999,4,L100,5.12,0.32
2,0.5,0.8999999999999999,5,L0,5.68,0.32
2,0.5,0.8999999999999999,5,L50,2.6,0.12
2,0.5,0.8999999999999999,5,L100,3.72,0.52
2,1.0,0.7,4,L0,3.88,0.12
2,1.0,0.7,4,L50,2.24,0.12
2,1.0,0.7,4,L100,2.48,0.16
2,1.0,0.7,5,L0,4.04,0.2
2,1.0,0.7,5,L50,3.36,0.04
2,1.0,0.7,5,L100,2.88,0.2
2,1.0,0.7999999999999999,4,L0,2.76,0.04
2,1.0,0.7999999999999999,4,L50,2.2,0.4
2,1.0,0.7999999999999999,4,L100,1.72,0.2
2,1.0,0.7999999999999999,5,L0,4.4,0.16
2,1.0,0.7999999999999999,5,L50,3.16,0.04
2,1.0,0.7999999999999999,5,L100,2.72,0.16
2,1.0,0.8999999999999999,4,L0,3.36,0.12
2,1.0,0.8999999999999999,4,L50,2.88,0.6
2,1.0,0.8999999999999999,4,L100,1.8,0.16
2,1.0,0.8999999999999999,5,L0,2.72,0.12
2,1.0,0.8999999999999999,5,L50,3.72,0.16
2,1.0,0.8999999999999999,5,L100,3.24,0.24
