init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.6500000000000001,3.0,L50,8.4,0.86
2.0,0.5,0.6500000000000001,3.0,L100,7.76,0.66
2.0,0.5,0.6500000000000001,3.5,L0,9.28,2.3
2.0,0.5,0.6500000000000001,3.5,L50,7.76,0.9
2.0,0.5,0.6500000000000001,3.5,L100,7.36,0.88
2.0,0.5,0.6500000000000001,4.0,L0,10.16,2.1
2.0,0.5,0.6500000000000001,4.0,L50,8.48,1.62
2.0,0.5,0.6500000000000001,4.0,L100,7.92,0.94
2.0,0.5,0.6500000000000001,4.5,L0,10.08,2.04
2.0,0.5,0.6500000000000001,4.5,L50,9.04,1.24
2.0,0.5,0.6500000000000001,4.5,L100,8.32,0.84
2.0,0.5,0.6500000000000001,5.0,L0,9.44,2.52
2.0,0.5,0.6500000000000001,5.0,L50,9.28,1.54
2.0,0.5,0.6500000000000001,5.0,L100,10.32,1.3
2.0,0.5,0.7000000000000002,1.0,L0,7.12,0.52
2.0,0.5,0.7000000000000002,1.0,L50,7.04,0.26
2.0,0.5,0.7000000000000002,1.0,L100,6.96,0.26
2.0,0.5,0.7000000000000002,1.5,L0,7.6,1.42
2.0,0.5,0.7000000000000002,1.5,L50,7.04,0.32
2.0,0.5,0.7000000000000002,1.5,L100,7.52,0.4
2.0,0.5,0.7000000000000002,2.0,L0,8.16,1.5
2.0,0.5,0.7000000000000002,2.0,L50,7.44,0.48
2.0,0.5,0.7000000000000002,2.0,L100,7.68,0.48
2.0,0.5,0.7000000000000002,2.5,L0,8.56,1.26
2.0,0.5,0.7000000000000002,2.5,L50,7.92,0.68
2.0,0.5,0.7000000000000002,2.5,L100,7.6,0.48
2.0,0.5,0.7000000000000002,3.0,L0,8.08,2.1
2.0,0.5,0.7000000000000002,3.0,L50,8.56,0.82
2.0,0.5,0.7000000000000002,3.0,L100,7.44,0.28
2.0,0.5,0.7000000000000002,3.5,L0,8.32,1.76
2.0,0.5,0.7000000000000002,3.5,L50,8.88,1.1
2.0,0.5,0.7000000000000002,3.5,L100,8.64,0.74
2.0,0.5,0.7000000000000002,4.0,L0,10.08,2.08
2.0,0.5,0.7000000000000002,4.0,L50,7.68,1.58
2.0,0.5,0.7000000000000002,4.0,L100,8.72,0.86
2.0,0.5,0.7000000000000002,4.5,L0,8.88,1.76
2.0,0.5,0.7000000000000002,4.5,L50,9.2,1.38
2.0,0.5,0.7000000000000002,4.5,L100,8.88,1.66
2.0,0.5,0.7000000000000002,5.0,L0,11.12,1.74
2.0,0.5,0.7000000000000002,5.0,L50,10.24,1.82
2.0,0.5,0.7000000000000002,5.0,L100,9.44,0.96
2.0,0.5,0.7500000000000002,1.0,L0,7.12,0.68
2.0,0.5,0.7500000000000002,1.0,L50,6.88,0.24
2.0,0.5,0.7500000000000002,1.0,L100,6.96,0.24
2.0,0.5,0.7500000000000002,1.5,L0,7.04,0.92
2.0,0.5,0.7500000000000002,1.5,L50,7.52,0.56
2.0,0.5,0.7500000000000002,1.5,L100,7.68,0.42
2.0,0.5,0.7500000000000002,2.0,L0,8.32,1.42
2.0,0.5,0.7500000000000002,2.0,L50,7.28,0.54
2.0,0.5,0.7500000000000002,2.0,L100,7.28,0.24
2.0,0.5,0.7500000000000002,2.5,L0,8.64,1.52
2.0,0.5,0.7500000000000002,2.5,L50,7.76,0.84
2.0,0.5,0.7500000000000002,2.5,L100,7.52,0.18
2.0,0.5,0.7500000000000002,3.0,L0,9.28,1.04
2.0,0.5,0.7500000000000002,3.0,L50,7.76,1.42
2.0,0.5,0.7500000000000002,3.0,L100,7.76,0.58
