Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
0.3308372,Left,0.01741678,2.287711,0.07006002,0.422696,0.99155,4.882433,40.25394,-3.860622,2.571259,39.98521,0.9980469,1,BG,BG
0.3308372,Right,0.01741678,2.287711,0.07006002,0.1543266,1.004203,4.895688,40.51182,-5.983392,2.577885,39.97638,0.9980469,1,BG,BG
0.3456879,Left,0.01671571,2.28792,0.07106749,0.422696,0.99155,4.882433,40.26882,-3.918976,2.489457,39.99873,0.9980469,1,BG,BG
0.3456879,Right,0.01671571,2.28792,0.07106749,0.1543266,1.004203,4.895688,40.53576,-6.043872,2.498857,39.99553,0.9980469,1,BG,BG
0.3724575,Left,0.01501963,2.288521,0.07311718,0.4174674,0.99046,4.883104,40.27137,-4.080089,2.237702,40.00031,0.9980469,1,BG,BG
0.3724575,Right,0.01501963,2.288521,0.07311718,0.1492648,1.002556,4.896183,40.5437,-6.204315,2.245402,39.99385,0.9980469,1,BG,BG
0.3873806,Left,0.01402263,2.288756,0.07405846,0.3990849,1.01837,4.878899,40.29794,-4.252032,2.305004,40.00698,0.9980469,1,BG,BG
0.3873806,Right,0.01402263,2.288756,0.07405846,0.1310721,1.029491,4.891111,40.58528,-6.37782,2.311172,40.0061,0.9980469,1,BG,BG
0.4014816,Left,0.01291392,2.288982,0.07494964,0.3990849,1.01837,4.878899,1.009899,-0.134073,0.05361913,0.9994085,0.9980469,1,Text,acticle_2
0.4014816,Right,0.01291392,2.288982,0.07494964,0.1310721,1.029491,4.891111,1.016865,-0.1239395,0.05357398,0.9994135,0.9980469,1,Text,acticle_2
0.4282932,Left,0.01034913,2.289106,0.07655314,0.2029835,1.060429,4.882037,40.50207,-5.872969,2.309328,40.00892,0.9980469,1,BG,BG
0.4282932,Right,0.01034913,2.289106,0.07655314,-0.06371675,1.068409,4.884101,40.87867,-8.011776,2.323775,40.00851,0.9980469,1,BG,BG
0.442894,Left,0.008929431,2.289128,0.07731417,0.2029835,1.060429,4.882037,1.014767,-0.1724505,0.05582605,0.9995901,0.9980469,1,Text,acticle_2
0.442894,Right,0.008929431,2.289128,0.07731417,-0.06371675,1.068409,4.884101,1.0241,-0.1626476,0.05573708,0.9995917,0.9980469,1,Text,acticle_2
