dwell_steps,perturbation_amp_tuning_factor,perturbation_amp_noise_scale,end_steps,reading_speed_wps,walk_over_stand_percent
0.2,0.0,0.0,59,4.067796610169491,1.0
0.2,0.0,0.005,63,3.8095238095238093,0.9365079365079365
0.2,0.0,0.01,87,2.7586206896551726,0.6781609195402298
0.2,0.0,0.015,127,1.889763779527559,0.4645669291338583
0.2,0.1,0.0,60,4.0,0.9833333333333333
0.2,0.1,0.005,61,3.9344262295081966,0.9672131147540983
0.2,0.1,0.01,75,3.2,0.7866666666666666
0.2,0.1,0.015,142,1.6901408450704225,0.4154929577464789
0.2,0.2,0.0,58,4.137931034482759,1.0172413793103448
0.2,0.2,0.005,65,3.6923076923076925,0.9076923076923077
0.2,0.2,0.01,87,2.7586206896551726,0.6781609195402298
0.2,0.2,0.015,126,1.9047619047619047,0.46825396825396826
0.2,0.3,0.0,62,3.870967741935484,0.9516129032258065
0.2,0.3,0.005,68,3.5294117647058822,0.8676470588235294
0.2,0.3,0.01,94,2.5531914893617023,0.6276595744680851
0.2,0.3,0.015,134,1.791044776119403,0.44029850746268656
0.2,0.4,0.0,68,3.5294117647058822,0.8676470588235294
0.2,0.4,0.005,72,3.3333333333333335,0.8194444444444444
0.2,0.4,0.01,88,2.727272727272727,0.6704545454545454
0.2,0.4,0.015,147,1.6326530612244898,0.4013605442176871
0.2,0.5,0.0,70,3.4285714285714284,0.8428571428571429
0.2,0.5,0.005,79,3.037974683544304,0.7468354430379747
0.2,0.5,0.01,106,2.2641509433962264,0.5566037735849056
0.2,0.5,0.015,141,1.702127659574468,0.41843971631205673
0.2,0.6,0.0,74,3.2432432432432434,0.7972972972972973
0.2,0.6,0.005,87,2.7586206896551726,0.6781609195402298
0.2,0.6,0.01,107,2.2429906542056073,0.5514018691588785
0.2,0.6,0.015,164,1.4634146341463414,0.3597560975609756
0.2,0.7,0.0,88,2.727272727272727,0.6704545454545454
0.2,0.7,0.005,90,2.6666666666666665,0.6555555555555556
0.2,0.7,0.01,110,2.1818181818181817,0.5363636363636364
0.2,0.7,0.015,177,1.3559322033898304,0.3333333333333333
0.2,0.8,0.0,95,2.526315789473684,0.6210526315789474
0.2,0.8,0.005,107,2.2429906542056073,0.5514018691588785
0.2,0.8,0.01,140,1.7142857142857142,0.42142857142857143
0.2,0.8,0.015,196,1.2244897959183674,0.3010204081632653
0.2,0.9,0.0,108,2.2222222222222223,0.5462962962962963
0.2,0.9,0.005,127,1.889763779527559,0.4645669291338583
0.2,0.9,0.01,126,1.9047619047619047,0.46825396825396826
0.2,0.9,0.015,226,1.0619469026548674,0.2610619469026549
0.2,1.0,0.0,128,1.875,0.4609375
0.2,1.0,0.005,129,1.8604651162790697,0.4573643410852713
0.2,1.0,0.01,166,1.4457831325301205,0.35542168674698793
0.2,1.0,0.015,210,1.1428571428571428,0.28095238095238095
0.3,0.0,0.0,83,2.891566265060241,1.0
0.3,0.0,0.005,87,2.7586206896551726,0.9540229885057471
0.3,0.0,0.01,125,1.92,0.664
0.3,0.0,0.015,182,1.3186813186813187,0.45604395604395603
0.3,0.1,0.0,83,2.891566265060241,1.0
0.3,0.1,0.005,86,2.7906976744186047,0.9651162790697675
0.3,0.1,0.01,118,2.0338983050847457,0.7033898305084746
0.3,0.1,0.015,172,1.3953488372093024,0.48255813953488375
0.3,0.2,0.0,84,2.857142857142857,0.9880952380952381
0.3,0.2,0.005,93,2.5806451612903225,0.8924731182795699
0.3,0.2,0.01,122,1.9672131147540983,0.680327868852459
0.3,0.2,0.015,206,1.1650485436893203,0.4029126213592233
0.3,0.3,0.0,83,2.891566265060241,1.0
0.3,0.3,0.005,90,2.6666666666666665,0.9222222222222223
0.3,0.3,0.01,120,2.0,0.6916666666666667
0.3,0.3,0.015,200,1.2,0.415
0.3,0.4,0.0,87,2.7586206896551726,0.9540229885057471
0.3,0.4,0.005,100,2.4,0.83
0.3,0.4,0.01,149,1.610738255033557,0.5570469798657718
0.3,0.4,0.015,187,1.2834224598930482,0.44385026737967914
0.3,0.5,0.0,100,2.4,0.83
0.3,0.5,0.005,110,2.1818181818181817,0.7545454545454545
0.3,0.5,0.01,149,1.610738255033557,0.5570469798657718
0.3,0.5,0.015,239,1.00418410041841,0.3472803347280335
0.3,0.6,0.0,109,2.2018348623853212,0.7614678899082569
0.3,0.6,0.005,119,2.0168067226890756,0.6974789915966386
0.3,0.6,0.01,146,1.643835616438356,0.5684931506849316
0.3,0.6,0.015,216,1.1111111111111112,0.38425925925925924
0.3,0.7,0.0,110,2.1818181818181817,0.7545454545454545
0.3,0.7,0.005,130,1.8461538461538463,0.6384615384615384
0.3,0.7,0.01,200,1.2,0.415
0.3,0.7,0.015,236,1.0169491525423728,0.3516949152542373
0.3,0.8,0.0,145,1.6551724137931034,0.5724137931034483
0.3,0.8,0.005,130,1.8461538461538463,0.6384615384615384
0.3,0.8,0.01,199,1.2060301507537687,0.41708542713567837
0.3,0.8,0.015,255,0.9411764705882353,0.3254901960784314
0.3,0.9,0.0,150,1.6,0.5533333333333333
0.3,0.9,0.005,156,1.5384615384615385,0.532051282051282
0.3,0.9,0.01,240,1.0,0.3458333333333333
0.3,0.9,0.015,270,0.8888888888888888,0.3074074074074074
0.3,1.0,0.0,150,1.6,0.5533333333333333
