init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.1,0.5,0.6500000000000001,4.5,L50,6.0,2.63

0.1,0.5,0.6500000000000001,4.5,L100,6.0,1.73

0.1,0.5,0.6500000000000001,5.0,L0,6.0,3.61

0.1,0.5,0.6500000000000001,5.0,L50,6.0,2.89

0.1,0.5,0.6500000000000001,5.0,L100,6.0,2.04

0.1,0.5,0.7000000000000002,1.0,L0,6.0,0.68

0.1,0.5,0.7000000000000002,1.0,L50,6.0,0.05

0.1,0.5,0.7000000000000002,1.0,L100,6.0,0.01

0.1,0.5,0.7000000000000002,1.5,L0,6.0,1.75

0.1,0.5,0.7000000000000002,1.5,L50,6.0,0.2

0.1,0.5,0.7000000000000002,1.5,L100,6.0,0.21

0.1,0.5,0.7000000000000002,2.0,L0,6.0,2.65

0.1,0.5,0.7000000000000002,2.0,L50,6.0,0.79

0.1,0.5,0.7000000000000002,2.0,L100,6.0,0.39

0.1,0.5,0.7000000000000002,2.5,L0,6.0,2.82

0.1,0.5,0.7000000000000002,2.5,L50,6.0,1.68

0.1,0.5,0.7000000000000002,2.5,L100,6.0,0.46

0.1,0.5,0.7000000000000002,3.0,L0,6.0,3.5

0.1,0.5,0.7000000000000002,3.0,L50,6.0,1.98

0.1,0.5,0.7000000000000002,3.0,L100,6.0,1.01

0.1,0.5,0.7000000000000002,3.5,L0,6.0,3.29

0.1,0.5,0.7000000000000002,3.5,L50,6.0,1.93

0.1,0.5,0.7000000000000002,3.5,L100,6.0,1.28

0.1,0.5,0.7000000000000002,4.0,L0,6.0,3.29

0.1,0.5,0.7000000000000002,4.0,L50,6.0,2.66

0.1,0.5,0.7000000000000002,4.0,L100,6.0,1.73

0.1,0.5,0.7000000000000002,4.5,L0,6.0,3.22

0.1,0.5,0.7000000000000002,4.5,L50,6.0,3.0

0.1,0.5,0.7000000000000002,4.5,L100,6.0,1.82

0.1,0.5,0.7000000000000002,5.0,L0,6.0,3.55

0.1,0.5,0.7000000000000002,5.0,L50,6.0,2.85

0.1,0.5,0.7000000000000002,5.0,L100,6.0,2.43

0.1,0.5,0.7500000000000002,1.0,L0,6.0,0.72

0.1,0.5,0.7500000000000002,1.0,L50,6.0,0.02

0.1,0.5,0.7500000000000002,1.0,L100,6.0,0.03

0.1,0.5,0.7500000000000002,1.5,L0,6.0,1.78

