init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,39,6,0.0,36,"[36, 36]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,40,10,0.0,33,"[29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,41,10,0.0,30,"[29, 30, 30]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[29, 30, 30]"
3.0,4.5,0.6,3.0,L0,42,10,0.0,30,"[29, 30, 30]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[29, 30, 30]"
3.0,4.5,0.6,3.0,L0,43,10,0.0,36,"[32, 36, 36]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[32, 36, 36]"
3.0,4.5,0.6,3.0,L0,44,6,0.0,36,"[36, 36]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,45,18,0.0,33,"[26, 30, 29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292, 0.1522837321447541]","[26, 30, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,46,10,2.0,30,"[28, 32, 32]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[28, 32, 32]"
3.0,4.5,0.6,3.0,L0,47,14,0.0,30,"[25, 29, 30, 30]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789]","[25, 29, 30, 30]"
3.0,4.5,0.6,3.0,L0,48,10,0.0,34,"[30, 34, 34]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[30, 34, 34]"
3.0,4.5,0.6,3.0,L0,49,6,1.0,34,"[35, 35]","[0.172556925711752, 0.17082853840049234]","[35, 35]"
3.0,4.5,0.6,3.0,L0,50,14,2.0,26,"[26, 27, 28, 28]","[0.19939365029699863, 0.19728727731657006, 0.19576223701628298, 0.1943588011155757]","[26, 27, 28, 28]"
3.0,4.5,0.6,3.0,L0,51,6,1.0,31,"[32, 32]","[0.14526078844766527, 0.14358691513360786]","[32, 32]"
3.0,4.5,0.6,3.0,L0,52,10,0.0,29,"[25, 29, 29]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[25, 29, 29]"
3.0,4.5,0.6,3.0,L0,53,14,2.0,28,"[27, 26, 30, 30]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[27, 26, 30, 30]"
3.0,4.5,0.6,3.0,L0,54,6,0.0,29,"[29, 29]","[0.14884999153518863, 0.14720590757510899]","[29, 29]"
3.0,4.5,0.6,3.0,L0,55,6,3.0,27,"[30, 30]","[0.17255692571175196, 0.17082853840049236]","[30, 30]"
3.0,4.5,0.6,3.0,L0,56,6,2.0,36,"[34, 34]","[0.24537589071508778, 0.24228230294216996]","[34, 34]"
3.0,4.5,0.6,3.0,L0,57,6,7.0,27,"[34, 34]","[0.17255692571175196, 0.17082853840049236]","[34, 34]"
3.0,4.5,0.6,3.0,L0,58,14,0.0,36,"[28, 32, 36, 36]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844, 0.23799375966794206]","[28, 32, 36, 36]"
3.0,4.5,0.6,3.0,L0,59,6,0.0,34,"[34, 34]","[0.172556925711752, 0.17082853840049234]","[34, 34]"
3.0,4.5,0.6,3.0,L0,60,6,0.0,35,"[35, 35]","[0.19939365029699865, 0.19728727731657003]","[35, 35]"
3.0,4.5,0.6,3.0,L0,61,6,3.0,32,"[35, 35]","[0.14884999153518866, 0.14720590757510899]","[35, 35]"
3.0,4.5,0.6,3.0,L0,62,6,5.0,31,"[36, 36]","[0.14526078844766527, 0.14358691513360786]","[36, 36]"
3.0,4.5,0.6,3.0,L0,63,6,4.0,25,"[29, 29]","[0.24537589071508778, 0.24228230294217007]","[29, 29]"
3.0,4.5,0.6,3.0,L0,64,6,0.0,36,"[36, 36]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,65,6,3.0,27,"[30, 30]","[0.17255692571175196, 0.17082853840049236]","[30, 30]"
3.0,4.5,0.6,3.0,L0,66,6,4.0,29,"[33, 33]","[0.14884999153518863, 0.14720590757510899]","[33, 33]"
3.0,4.5,0.6,3.0,L0,67,10,1.0,34,"[31, 35, 35]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[31, 35, 35]"
3.0,4.5,0.6,3.0,L0,68,6,0.0,36,"[36, 36]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,69,18,0.0,34,"[27, 31, 30, 34, 34]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875, 0.16843428039357503, 0.1673768454575782]","[27, 31, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,70,14,3.0,28,"[28, 27, 31, 31]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[28, 27, 31, 31]"
3.0,4.5,0.6,3.0,L0,71,6,3.0,36,"[33, 33]","[0.24537589071508778, 0.24228230294216996]","[33, 33]"
3.0,4.5,0.6,3.0,L0,72,6,3.0,26,"[29, 29]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,73,6,4.0,27,"[31, 31]","[0.17255692571175196, 0.17082853840049236]","[31, 31]"
3.0,4.5,0.6,3.0,L0,74,6,4.0,30,"[34, 34]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,75,14,1.0,36,"[27, 31, 35, 35]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844, 0.23799375966794206]","[27, 31, 35, 35]"
3.0,4.5,0.6,3.0,L0,76,6,4.0,25,"[29, 29]","[0.24537589071508778, 0.24228230294217007]","[29, 29]"
3.0,4.5,0.6,3.0,L0,77,10,0.0,32,"[31, 32, 32]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[31, 32, 32]"
3.0,4.5,0.6,3.0,L0,78,6,2.0,36,"[34, 34]","[0.24537589071508778, 0.24228230294216996]","[34, 34]"
3.0,4.5,0.6,3.0,L0,79,10,0.0,33,"[29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,80,6,5.0,30,"[35, 35]","[0.14526078844766527, 0.14358691513360786]","[35, 35]"
3.0,4.5,0.6,3.0,L0,81,10,0.0,29,"[25, 29, 29]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[25, 29, 29]"
3.0,4.5,0.6,3.0,L0,82,10,0.0,34,"[30, 34, 34]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[30, 34, 34]"
3.0,4.5,0.6,3.0,L0,83,14,4.0,25,"[25, 25, 29, 29]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285, 0.23799375966794206]","[25, 25, 29, 29]"
3.0,4.5,0.6,3.0,L0,84,6,1.0,29,"[30, 30]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,85,6,9.0,25,"[34, 34]","[0.24537589071508778, 0.24228230294217007]","[34, 34]"
3.0,4.5,0.6,3.0,L0,86,18,1.0,32,"[26, 30, 29, 33, 33]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818, 0.14495526431009323, 0.143971301706733]","[26, 30, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,87,6,5.0,30,"[35, 35]","[0.14526078844766527, 0.14358691513360786]","[35, 35]"
3.0,4.5,0.6,3.0,L0,88,6,1.0,29,"[30, 30]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,89,6,4.0,26,"[30, 30]","[0.19939365029699863, 0.19728727731657006]","[30, 30]"
3.0,4.5,0.6,3.0,L0,90,6,4.0,32,"[36, 36]","[0.14884999153518866, 0.14720590757510899]","[36, 36]"
3.0,4.5,0.6,3.0,L0,91,6,4.0,32,"[36, 36]","[0.14884999153518866, 0.14720590757510899]","[36, 36]"
3.0,4.5,0.6,3.0,L0,92,6,2.0,35,"[33, 33]","[0.19939365029699865, 0.19728727731657003]","[33, 33]"
3.0,4.5,0.6,3.0,L0,93,10,0.0,32,"[28, 32, 32]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[28, 32, 32]"
3.0,4.5,0.6,3.0,L0,94,6,4.0,26,"[30, 30]","[0.19939365029699863, 0.19728727731657006]","[30, 30]"
3.0,4.5,0.6,3.0,L0,95,6,1.0,29,"[30, 30]","[0.14884999153518863, 0.14720590757510899]","[30, 30]"
3.0,4.5,0.6,3.0,L0,96,14,1.0,35,"[26, 30, 34, 34]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293, 0.1943588011155757]","[26, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,97,10,2.0,25,"[26, 27, 27]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285]","[26, 27, 27]"
3.0,4.5,0.6,3.0,L0,98,10,1.0,32,"[32, 33, 33]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,99,10,1.0,35,"[30, 34, 34]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293]","[30, 34, 34]"
3.0,4.5,0.6,3.0,L0,100,6,3.0,26,"[29, 29]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,101,14,1.0,31,"[29, 28, 32, 32]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789]","[29, 28, 32, 32]"
3.0,4.5,0.6,3.0,L0,102,6,0.0,33,"[33, 33]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,103,10,1.0,32,"[32, 33, 33]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,104,10,0.0,35,"[31, 35, 35]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293]","[31, 35, 35]"
3.0,4.5,0.6,3.0,L0,105,10,1.0,30,"[27, 31, 31]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,106,14,0.0,33,"[25, 29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292]","[25, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,107,6,8.0,28,"[36, 36]","[0.1571445204288281, 0.15551393749492284]","[36, 36]"
3.0,4.5,0.6,3.0,L0,108,6,0.0,33,"[33, 33]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,109,6,3.0,30,"[33, 33]","[0.14526078844766527, 0.14358691513360786]","[33, 33]"
3.0,4.5,0.6,3.0,L0,110,6,1.0,30,"[31, 31]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,111,14,0.0,32,"[27, 31, 32, 32]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818, 0.14495526431009323]","[27, 31, 32, 32]"
3.0,4.5,0.6,3.0,L0,112,10,0.0,29,"[25, 29, 29]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[25, 29, 29]"
3.0,4.5,0.6,3.0,L0,113,6,8.0,25,"[33, 33]","[0.24537589071508778, 0.24228230294217007]","[33, 33]"
3.0,4.5,0.6,3.0,L0,114,10,0.0,36,"[32, 36, 36]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[32, 36, 36]"
3.0,4.5,0.6,3.0,L0,115,6,0.0,33,"[33, 33]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,116,6,1.0,34,"[35, 35]","[0.172556925711752, 0.17082853840049234]","[35, 35]"
3.0,4.5,0.6,3.0,L0,117,6,4.0,27,"[31, 31]","[0.17255692571175196, 0.17082853840049236]","[31, 31]"
3.0,4.5,0.6,3.0,L0,118,6,0.0,31,"[31, 31]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,119,6,3.0,31,"[34, 34]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,120,6,0.0,31,"[31, 31]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,121,6,3.0,28,"[31, 31]","[0.1571445204288281, 0.15551393749492284]","[31, 31]"
3.0,4.5,0.6,3.0,L0,122,6,2.0,28,"[30, 30]","[0.1571445204288281, 0.15551393749492284]","[30, 30]"
3.0,4.5,0.6,3.0,L0,123,6,0.0,36,"[36, 36]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,124,6,4.0,29,"[33, 33]","[0.14884999153518863, 0.14720590757510899]","[33, 33]"
3.0,4.5,0.6,3.0,L0,125,14,1.0,35,"[28, 32, 36, 36]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293, 0.1943588011155757]","[28, 32, 36, 36]"
3.0,4.5,0.6,3.0,L0,126,6,1.0,35,"[36, 36]","[0.19939365029699865, 0.19728727731657003]","[36, 36]"
3.0,4.5,0.6,3.0,L0,127,10,0.0,36,"[32, 36, 36]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[32, 36, 36]"
3.0,4.5,0.6,3.0,L0,128,10,0.0,31,"[27, 31, 31]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,129,6,0.0,30,"[30, 30]","[0.14526078844766527, 0.14358691513360786]","[30, 30]"
3.0,4.5,0.6,3.0,L0,130,14,0.0,33,"[25, 29, 33, 33]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292]","[25, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,131,10,0.0,31,"[30, 31, 31]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[30, 31, 31]"
3.0,4.5,0.6,3.0,L0,132,10,1.0,32,"[32, 33, 33]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,133,10,1.0,30,"[27, 31, 31]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,134,6,4.0,30,"[34, 34]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,135,14,2.0,27,"[27, 28, 29, 29]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878, 0.16843428039357503]","[27, 28, 29, 29]"
3.0,4.5,0.6,3.0,L0,136,10,1.0,32,"[32, 33, 33]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,137,6,3.0,26,"[29, 29]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,138,10,1.0,34,"[29, 33, 33]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,139,18,1.0,32,"[26, 30, 29, 33, 33]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818, 0.14495526431009323, 0.143971301706733]","[26, 30, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,140,6,0.0,33,"[33, 33]","[0.15714452042882812, 0.15551393749492282]","[33, 33]"
3.0,4.5,0.6,3.0,L0,141,6,3.0,32,"[35, 35]","[0.14884999153518866, 0.14720590757510899]","[35, 35]"
3.0,4.5,0.6,3.0,L0,142,6,4.0,31,"[35, 35]","[0.14526078844766527, 0.14358691513360786]","[35, 35]"
3.0,4.5,0.6,3.0,L0,143,6,4.0,27,"[31, 31]","[0.17255692571175196, 0.17082853840049236]","[31, 31]"
3.0,4.5,0.6,3.0,L0,144,10,2.0,26,"[27, 28, 28]","[0.19939365029699863, 0.19728727731657006, 0.19576223701628298]","[27, 28, 28]"
3.0,4.5,0.6,3.0,L0,145,10,2.0,29,"[27, 31, 31]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,146,6,1.0,35,"[36, 36]","[0.19939365029699865, 0.19728727731657003]","[36, 36]"
3.0,4.5,0.6,3.0,L0,147,6,4.0,26,"[30, 30]","[0.19939365029699863, 0.19728727731657006]","[30, 30]"
