init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,31,6,7.0,27,"[0.0931428463679116, 0.09417322776411716]","[0.17255692571175196, 0.17082853840049236]","[34, 34]"
3.0,4.5,0.6,3.0,L0,32,6,2.0,30,"[0.25170715804657123, 0.3194574672731156]","[0.14526078844766527, 0.14358691513360786]","[32, 32]"
3.0,4.5,0.6,3.0,L0,33,6,3.0,26,"[0.23395212964460388, 0.288810296496332]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,34,14,3.0,28,"[0.34426068512169267, 0.448687341878834, 0.28538377210250776, 0.18298161116923206]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[28, 27, 31, 31]"
3.0,4.5,0.6,3.0,L0,35,10,1.0,31,"[0.2344801143140192, 0.2958376279820475, 0.36792072360634925]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[28, 32, 32]"
3.0,4.5,0.6,3.0,L0,36,6,0.0,29,"[0.2944313227045806, 0.37723821405601243]","[0.14884999153518863, 0.14720590757510899]","[29, 29]"
3.0,4.5,0.6,3.0,L0,37,14,1.0,28,"[0.2086159613813194, 0.26411943931684884, 0.2121422602913078, 0.3404075281552989]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[26, 25, 29, 29]"
3.0,4.5,0.6,3.0,L0,38,10,0.0,30,"[0.28067822175594137, 0.3591047305955705, 0.26280043429588157]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[29, 30, 30]"
3.0,4.5,0.6,3.0,L0,39,6,0.0,36,"[0.3952909737843071, 0.4916705668368986]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,40,10,0.0,33,"[0.1801059673586433, 0.21780577831312073, 0.4315362520437874]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,41,10,0.0,30,"[0.28067822175594137, 0.3591047305955705, 0.26280043429588157]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[29, 30, 30]"
3.0,4.5,0.6,3.0,L0,42,10,0.0,30,"[0.28067822175594137, 0.3591047305955705, 0.26280043429588157]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[29, 30, 30]"
3.0,4.5,0.6,3.0,L0,43,10,0.0,36,"[0.19734013326871053, 0.2352882578153484, 0.4795201525945476]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[32, 36, 36]"
3.0,4.5,0.6,3.0,L0,44,6,0.0,36,"[0.3952909737843071, 0.4916705668368986]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,45,18,0.0,33,"[0.09450883117139773, 0.09725430023813778, 0.24625721524163333, 0.15687010515934596, 0.3927634939545717]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292, 0.1522837321447541]","[26, 30, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,46,10,2.0,30,"[0.278054665657701, 0.3564238614009161, 0.3128947524787194]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[28, 32, 32]"
3.0,4.5,0.6,3.0,L0,47,14,0.0,30,"[0.15236448604498434, 0.17626062575315615, 0.3917460554174306, 0.2565834305051529]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789]","[25, 29, 30, 30]"
3.0,4.5,0.6,3.0,L0,48,10,0.0,34,"[0.13884431083782997, 0.16680025260838696, 0.34603113328799623]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[30, 34, 34]"
3.0,4.5,0.6,3.0,L0,49,6,1.0,34,"[0.2453048753804388, 0.3136114012560498]","[0.172556925711752, 0.17082853840049234]","[35, 35]"
3.0,4.5,0.6,3.0,L0,50,14,2.0,26,"[0.2777743533628695, 0.3560127219508406, 0.329501832290209, 0.35885309674622873]","[0.19939365029699863, 0.19728727731657006, 0.19576223701628298, 0.1943588011155757]","[26, 27, 28, 28]"
3.0,4.5,0.6,3.0,L0,51,6,1.0,31,"[0.2806782217559414, 0.35910473059557046]","[0.14526078844766527, 0.14358691513360786]","[32, 32]"
3.0,4.5,0.6,3.0,L0,52,10,0.0,29,"[0.18411952818556132, 0.22129188568415553, 0.3941825541732306]","[0.14884999153518863, 0.14720590757510899, 0.14602876154737818]","[25, 29, 29]"
3.0,4.5,0.6,3.0,L0,53,14,2.0,28,"[0.24090428948799208, 0.3116163299672079, 0.23034511872587576, 0.23149749861303187]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[27, 26, 30, 30]"
3.0,4.5,0.6,3.0,L0,54,6,0.0,29,"[0.2944313227045806, 0.37723821405601243]","[0.14884999153518863, 0.14720590757510899]","[29, 29]"
3.0,4.5,0.6,3.0,L0,55,6,3.0,27,"[0.1684943553264402, 0.20893355332758484]","[0.17255692571175196, 0.17082853840049236]","[30, 30]"
3.0,4.5,0.6,3.0,L0,56,6,2.0,36,"[0.2941757657019617, 0.3903659443137208]","[0.24537589071508778, 0.24228230294216996]","[34, 34]"
3.0,4.5,0.6,3.0,L0,57,6,7.0,27,"[0.0931428463679116, 0.09417322776411716]","[0.17255692571175196, 0.17082853840049236]","[34, 34]"
3.0,4.5,0.6,3.0,L0,58,14,0.0,36,"[0.11420045416001454, 0.120400719350373, 0.2923322996978653, 0.4494074164463843]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844, 0.23799375966794206]","[28, 32, 36, 36]"
3.0,4.5,0.6,3.0,L0,59,6,0.0,34,"[0.26773574234942127, 0.3496290249317179]","[0.172556925711752, 0.17082853840049234]","[34, 34]"
3.0,4.5,0.6,3.0,L0,60,6,0.0,35,"[0.2777743533628694, 0.35601272195084055]","[0.19939365029699865, 0.19728727731657003]","[35, 35]"
3.0,4.5,0.6,3.0,L0,61,6,3.0,32,"[0.172069578726801, 0.21307800509305475]","[0.14884999153518866, 0.14720590757510899]","[35, 35]"
3.0,4.5,0.6,3.0,L0,62,6,5.0,31,"[0.15236448604498434, 0.17626062575315618]","[0.14526078844766527, 0.14358691513360786]","[36, 36]"
3.0,4.5,0.6,3.0,L0,63,6,4.0,25,"[0.19734013326871055, 0.2352882578153484]","[0.24537589071508778, 0.24228230294217007]","[29, 29]"
3.0,4.5,0.6,3.0,L0,64,6,0.0,36,"[0.3952909737843071, 0.4916705668368986]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,65,6,3.0,27,"[0.1684943553264402, 0.20893355332758484]","[0.17255692571175196, 0.17082853840049236]","[30, 30]"
3.0,4.5,0.6,3.0,L0,66,6,4.0,29,"[0.19342096827456484, 0.2375052870183882]","[0.14884999153518863, 0.14720590757510899]","[33, 33]"
3.0,4.5,0.6,3.0,L0,67,10,1.0,34,"[0.16849435532644025, 0.2089335533275849, 0.3018077477034909]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[31, 35, 35]"
3.0,4.5,0.6,3.0,L0,68,6,0.0,36,"[0.3952909737843071, 0.4916705668368986]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,69,18,0.0,34,"[0.0931428463679116, 0.09417322776411717, 0.24862493376782147, 0.13655100511879775, 0.32592533866242224]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875, 0.16843428039357503, 0.1673768454575782]","[27, 31, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,70,14,3.0,28,"[0.34426068512169267, 0.448687341878834, 0.28538377210250776, 0.18298161116923206]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[28, 27, 31, 31]"
3.0,4.5,0.6,3.0,L0,71,6,3.0,36,"[0.3487126050194502, 0.46947934454965956]","[0.24537589071508778, 0.24228230294216996]","[33, 33]"
3.0,4.5,0.6,3.0,L0,72,6,3.0,26,"[0.23395212964460388, 0.288810296496332]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,73,6,4.0,27,"[0.13884431083782997, 0.166800252608387]","[0.17255692571175196, 0.17082853840049236]","[31, 31]"
3.0,4.5,0.6,3.0,L0,74,6,4.0,30,"[0.14189106211400448, 0.16933670827369848]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
