agent_name,layout,event_update_level,num_attention_switches,num_attention_switches_margins,num_attention_switches_middle,inform_loss,reading_speed,total_steps,attention_switches_time_steps_list
agent_a,L0,short,13,10,3,33,0.885,113,"[6, 13, 23, 34, 44, 54, 62, 71, 80, 89, 91, 99, 103]"
agent_a,L0,short,15,8,7,10,0.8696,115,"[4, 9, 11, 23, 33, 43, 44, 56, 65, 76, 84, 93, 94, 96, 106]"
agent_a,L0,short,16,14,2,15,0.8621,116,"[4, 10, 19, 21, 32, 42, 51, 55, 65, 74, 84, 92, 100, 105, 106, 107]"
agent_a,L0,short,20,14,6,1,0.8333,120,"[4, 9, 19, 29, 31, 32, 42, 52, 53, 63, 73, 82, 84, 93, 94, 95, 96, 106, 115, 116]"
agent_a,L0,short,21,14,7,5,0.8264,121,"[9, 16, 18, 19, 28, 30, 40, 49, 58, 60, 69, 79, 80, 81, 82, 91, 93, 102, 105, 116, 117]"
agent_a,L0,short,17,8,9,12,0.8547,117,"[4, 9, 11, 20, 24, 35, 44, 56, 65, 74, 77, 86, 95, 104, 105, 106, 107]"
agent_a,L0,short,18,14,4,6,0.8475,118,"[4, 9, 18, 20, 30, 39, 50, 59, 60, 61, 70, 72, 81, 83, 93, 103, 105, 114]"
agent_a,L0,short,16,7,9,14,0.8621,116,"[9, 16, 19, 21, 30, 32, 42, 46, 55, 64, 69, 78, 89, 97, 99, 108]"
agent_a,L0,short,15,9,6,6,0.8696,115,"[9, 11, 19, 21, 32, 42, 43, 53, 64, 73, 82, 85, 94, 95, 107]"
agent_a,L0,short,17,12,5,7,0.8547,117,"[4, 9, 18, 20, 30, 39, 43, 52, 61, 70, 72, 81, 90, 94, 102, 111, 112]"
agent_a,L0,short,13,5,8,15,0.885,113,"[9, 18, 20, 30, 40, 51, 60, 61, 62, 76, 85, 95, 104]"
agent_a,L0,short,20,12,8,7,0.8333,120,"[4, 9, 18, 21, 30, 31, 32, 41, 45, 55, 65, 75, 84, 86, 95, 104, 105, 106, 115, 117]"
agent_a,L0,short,18,9,9,3,0.8475,118,"[9, 16, 18, 20, 29, 39, 41, 50, 61, 71, 72, 81, 83, 93, 95, 104, 105, 115]"
agent_a,L0,short,18,6,12,16,0.8475,118,"[4, 9, 19, 22, 31, 33, 37, 49, 59, 69, 79, 89, 98, 100, 109, 110, 111, 112]"
agent_a,L0,short,19,14,5,0,0.8403,119,"[9, 16, 18, 19, 29, 39, 49, 59, 68, 69, 70, 80, 81, 90, 91, 100, 102, 104, 114]"
agent_a,L0,short,17,12,5,6,0.8547,117,"[4, 9, 18, 21, 31, 40, 50, 60, 69, 71, 80, 91, 100, 101, 103, 112, 113]"
agent_a,L0,short,19,7,12,5,0.8403,119,"[4, 9, 19, 28, 30, 42, 52, 63, 74, 75, 84, 85, 86, 87, 88, 89, 99, 100, 110]"
agent_a,L0,short,17,7,10,10,0.8547,117,"[6, 13, 14, 23, 26, 36, 45, 47, 56, 59, 71, 80, 90, 100, 101, 110, 111]"
agent_a,L0,short,17,10,7,10,0.8547,117,"[9, 16, 18, 20, 29, 32, 42, 51, 53, 62, 71, 72, 74, 84, 93, 94, 106]"
agent_a,L0,short,15,7,8,6,0.8696,115,"[4, 10, 19, 21, 30, 32, 42, 51, 53, 63, 75, 85, 94, 96, 105]"
agent_a,L0,short,16,10,6,12,0.8621,116,"[9, 11, 20, 30, 31, 41, 50, 52, 61, 63, 72, 76, 85, 94, 98, 107]"
agent_a,L0,short,18,6,12,5,0.8475,118,"[12, 20, 29, 39, 50, 59, 68, 70, 71, 80, 81, 90, 91, 92, 103, 104, 113, 114]"
agent_a,L0,short,19,8,11,5,0.8403,119,"[9, 16, 18, 22, 31, 44, 53, 54, 63, 65, 74, 76, 85, 86, 88, 97, 98, 99, 110]"
agent_a,L0,short,21,17,4,5,0.8264,121,"[9, 16, 18, 19, 31, 42, 51, 52, 53, 64, 74, 83, 92, 93, 94, 104, 105, 106, 107, 108, 118]"
agent_a,L0,short,13,5,8,40,0.885,113,"[9, 12, 20, 21, 22, 32, 43, 62, 71, 81, 90, 101, 109]"
agent_a,L0,short,21,15,6,8,0.8264,121,"[9, 13, 21, 31, 40, 42, 51, 52, 53, 55, 65, 74, 76, 85, 94, 95, 104, 105, 106, 109, 119]"
agent_a,L0,short,18,10,8,7,0.8475,118,"[4, 9, 18, 20, 30, 40, 41, 44, 55, 64, 66, 75, 84, 86, 95, 105, 115, 116]"
agent_a,L0,short,18,12,6,14,0.8475,118,"[4, 10, 20, 21, 30, 31, 40, 43, 53, 65, 74, 83, 92, 93, 94, 104, 113, 116]"
agent_a,L0,short,16,12,4,10,0.8621,116,"[4, 9, 19, 28, 30, 41, 52, 62, 72, 80, 90, 91, 100, 101, 110, 112]"
agent_a,L0,short,18,14,4,7,0.8475,118,"[9, 16, 22, 31, 40, 52, 62, 70, 72, 73, 74, 75, 76, 77, 86, 88, 97, 108]"
agent_a,L0,short,15,10,5,12,0.8696,115,"[4, 9, 18, 20, 23, 32, 42, 51, 53, 62, 71, 73, 86, 96, 106]"
agent_a,L0,short,15,10,5,6,0.8696,115,"[4, 9, 18, 20, 21, 31, 40, 43, 54, 57, 66, 75, 85, 96, 105]"
agent_a,L0,short,17,7,10,6,0.8547,117,"[9, 17, 20, 29, 39, 48, 51, 61, 70, 79, 80, 90, 100, 102, 110, 111, 114]"
agent_a,L0,short,20,12,8,5,0.8333,120,"[4, 9, 11, 20, 23, 32, 41, 43, 53, 62, 63, 74, 75, 76, 77, 79, 89, 98, 100, 111]"
agent_a,L0,short,13,3,10,10,0.885,113,"[14, 24, 33, 42, 44, 54, 64, 74, 83, 84, 93, 94, 104]"
