init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.8,4.0,L0,9.208,1.814
2.0,0.5,0.8,4.0,L50,8.816,1.32
2.0,0.5,0.8,4.0,L100,8.4,0.938
2.0,0.5,0.8,4.5,L0,9.864,1.844
2.0,0.5,0.8,4.5,L50,8.768,1.634
2.0,0.5,0.8,4.5,L100,9.168,1.266
2.0,0.5,0.8500000000000001,4.0,L0,9.464,1.83
2.0,0.5,0.8500000000000001,4.0,L50,8.888,1.384
2.0,0.5,0.8500000000000001,4.0,L100,8.688,0.906
2.0,0.5,0.8500000000000001,4.5,L0,10.024,2.05
2.0,0.5,0.8500000000000001,4.5,L50,10.212,1.526
2.0,0.5,0.8500000000000001,4.5,L100,9.6,1.272
2.0,1.0,0.8,4.0,L0,9.232,1.834
2.0,1.0,0.8,4.0,L50,8.944,1.412
2.0,1.0,0.8,4.0,L100,8.48,0.94
2.0,1.0,0.8,4.5,L0,9.352,2.124
2.0,1.0,0.8,4.5,L50,8.664,1.708
2.0,1.0,0.8,4.5,L100,8.352,1.184
2.0,1.0,0.8500000000000001,4.0,L0,9.264,1.992
2.0,1.0,0.8500000000000001,4.0,L50,8.856,1.416
2.0,1.0,0.8500000000000001,4.0,L100,8.344,1.022
2.0,1.0,0.8500000000000001,4.5,L0,9.408,1.894
2.0,1.0,0.8500000000000001,4.5,L50,9.096,1.432
2.0,1.0,0.8500000000000001,4.5,L100,8.776,1.054
2.5,0.5,0.8,4.0,L0,9.384,1.96
2.5,0.5,0.8,4.0,L50,8.88,1.356
2.5,0.5,0.8,4.0,L100,8.416,1.014
2.5,0.5,0.8,4.5,L0,9.68,1.812
2.5,0.5,0.8,4.5,L50,9.564,1.512
2.5,0.5,0.8,4.5,L100,9.272,1.002
2.5,0.5,0.8500000000000001,4.0,L0,9.368,1.834
2.5,0.5,0.8500000000000001,4.0,L50,8.752,1.436
2.5,0.5,0.8500000000000001,4.0,L100,8.536,0.938
2.5,0.5,0.8500000000000001,4.5,L0,9.336,1.9
2.5,0.5,0.8500000000000001,4.5,L50,9.528,1.46
2.5,0.5,0.8500000000000001,4.5,L100,9.484,1.244
2.5,1.0,0.8,4.0,L0,9.384,1.734
2.5,1.0,0.8,4.0,L50,8.744,1.302
2.5,1.0,0.8,4.0,L100,8.624,0.854
2.5,1.0,0.8,4.5,L0,9.232,1.954
2.5,1.0,0.8,4.5,L50,9.008,1.358
2.5,1.0,0.8,4.5,L100,8.536,1.032
2.5,1.0,0.8500000000000001,4.0,L0,9.264,1.922
2.5,1.0,0.8500000000000001,4.0,L50,8.632,1.418
2.5,1.0,0.8500000000000001,4.0,L100,8.192,1.056
2.5,1.0,0.8500000000000001,4.5,L0,9.144,2.126
2.5,1.0,0.8500000000000001,4.5,L50,8.784,1.592
2.5,1.0,0.8500000000000001,4.5,L100,8.536,1.184
