init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,gaze_positions_list
2.0,0.5,0.8,4.0,L50,32,14,1.0,"[20, 19, 23, 23]"
2.0,0.5,0.8,4.0,L50,33,10,1.0,"[13, 14, 14]"
2.0,0.5,0.8,4.0,L50,34,6,1.0,"[18, 18]"
2.0,0.5,0.8,4.0,L50,35,6,8.0,"[21, 21]"
2.0,0.5,0.8,4.0,L50,36,14,2.0,"[14, 18, 22, 22]"
2.0,0.5,0.8,4.0,L50,37,6,6.0,"[24, 24]"
2.0,0.5,0.8,4.0,L50,38,6,1.0,"[18, 18]"
2.0,0.5,0.8,4.0,L50,39,6,3.0,"[17, 17]"
2.0,0.5,0.8,4.0,L50,40,6,4.0,"[24, 24]"
2.0,0.5,0.8,4.0,L50,41,6,3.0,"[23, 23]"
2.0,0.5,0.8,4.0,L50,42,10,0.0,"[22, 23, 23]"
2.0,0.5,0.8,4.0,L50,43,10,0.0,"[16, 20, 20]"
2.0,0.5,0.8,4.0,L50,44,6,2.0,"[16, 16]"
2.0,0.5,0.8,4.0,L50,45,6,1.0,"[18, 18]"
2.0,0.5,0.8,4.0,L50,46,14,0.0,"[15, 19, 23, 23]"
2.0,0.5,0.8,4.0,L50,47,6,1.0,"[14, 14]"
2.0,0.5,0.8,4.0,L50,48,10,0.0,"[19, 20, 20]"
2.0,0.5,0.8,4.0,L50,49,10,0.0,"[19, 23, 23]"
2.0,0.5,0.8,4.0,L50,50,6,1.0,"[15, 15]"
2.0,0.5,0.8,4.0,L100,1,10,0.0,"[6, 7, 7]"
2.0,0.5,0.8,4.0,L100,2,6,1.0,"[10, 10]"
2.0,0.5,0.8,4.0,L100,3,6,0.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,4,10,0.0,"[10, 11, 11]"
2.0,0.5,0.8,4.0,L100,5,10,0.0,"[5, 6, 6]"
2.0,0.5,0.8,4.0,L100,6,10,0.0,"[5, 9, 9]"
2.0,0.5,0.8,4.0,L100,7,6,4.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,8,6,1.0,"[10, 10]"
2.0,0.5,0.8,4.0,L100,9,6,1.0,"[7, 7]"
2.0,0.5,0.8,4.0,L100,10,6,1.0,"[7, 7]"
2.0,0.5,0.8,4.0,L100,11,10,0.0,"[4, 8, 8]"
2.0,0.5,0.8,4.0,L100,12,10,0.0,"[1, 5, 5]"
2.0,0.5,0.8,4.0,L100,13,6,4.0,"[5, 5]"
2.0,0.5,0.8,4.0,L100,14,10,0.0,"[11, 12, 12]"
2.0,0.5,0.8,4.0,L100,15,6,1.0,"[10, 10]"
2.0,0.5,0.8,4.0,L100,16,6,2.0,"[12, 12]"
2.0,0.5,0.8,4.0,L100,17,6,1.0,"[4, 4]"
2.0,0.5,0.8,4.0,L100,18,6,0.0,"[7, 7]"
2.0,0.5,0.8,4.0,L100,19,6,1.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,20,6,0.0,"[7, 7]"
2.0,0.5,0.8,4.0,L100,21,6,0.0,"[4, 4]"
2.0,0.5,0.8,4.0,L100,22,6,0.0,"[4, 4]"
2.0,0.5,0.8,4.0,L100,23,6,0.0,"[12, 12]"
2.0,0.5,0.8,4.0,L100,24,6,3.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,25,14,0.0,"[8, 7, 11, 11]"
2.0,0.5,0.8,4.0,L100,26,6,1.0,"[12, 12]"
2.0,0.5,0.8,4.0,L100,27,10,0.0,"[11, 12, 12]"
2.0,0.5,0.8,4.0,L100,28,14,0.0,"[4, 3, 7, 7]"
2.0,0.5,0.8,4.0,L100,29,6,0.0,"[6, 6]"
2.0,0.5,0.8,4.0,L100,30,10,0.0,"[5, 9, 9]"
2.0,0.5,0.8,4.0,L100,31,10,0.0,"[6, 7, 7]"
2.0,0.5,0.8,4.0,L100,32,6,0.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,33,10,0.0,"[5, 6, 6]"
2.0,0.5,0.8,4.0,L100,34,6,3.0,"[9, 9]"
2.0,0.5,0.8,4.0,L100,35,14,2.0,"[2, 1, 5, 5]"
2.0,0.5,0.8,4.0,L100,36,6,0.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,37,6,1.0,"[3, 3]"
2.0,0.5,0.8,4.0,L100,38,10,0.0,"[9, 10, 10]"
2.0,0.5,0.8,4.0,L100,39,14,2.0,"[2, 6, 10, 10]"
2.0,0.5,0.8,4.0,L100,40,6,1.0,"[10, 10]"
2.0,0.5,0.8,4.0,L100,41,6,0.0,"[8, 8]"
2.0,0.5,0.8,4.0,L100,42,6,3.0,"[10, 10]"
2.0,0.5,0.8,4.0,L100,43,6,0.0,"[3, 3]"
2.0,0.5,0.8,4.0,L100,44,6,0.0,"[2, 2]"
2.0,0.5,0.8,4.0,L100,45,10,1.0,"[5, 6, 6]"
2.0,0.5,0.8,4.0,L100,46,6,1.0,"[12, 12]"
2.0,0.5,0.8,4.0,L100,47,6,1.0,"[3, 3]"
2.0,0.5,0.8,4.0,L100,48,6,0.0,"[2, 2]"
2.0,0.5,0.8,4.0,L100,49,6,1.0,"[2, 2]"
2.0,0.5,0.8,4.0,L100,50,10,1.0,"[9, 10, 10]"
2.0,0.5,0.8,4.5,L0,1,6,4.0,"[29, 29]"
2.0,0.5,0.8,4.5,L0,2,14,2.0,"[26, 25, 29, 29]"
2.0,0.5,0.8,4.5,L0,3,6,7.0,"[32, 32]"
2.0,0.5,0.8,4.5,L0,4,10,0.0,"[28, 32, 32]"
2.0,0.5,0.8,4.5,L0,5,14,0.0,"[32, 31, 35, 35]"
2.0,0.5,0.8,4.5,L0,6,6,4.0,"[29, 29]"
2.0,0.5,0.8,4.5,L0,7,18,0.0,"[34, 33, 32, 36, 36]"
2.0,0.5,0.8,4.5,L0,8,6,10.0,"[35, 35]"
2.0,0.5,0.8,4.5,L0,9,6,4.0,"[33, 33]"
2.0,0.5,0.8,4.5,L0,10,6,1.0,"[36, 36]"
2.0,0.5,0.8,4.5,L0,11,14,1.0,"[32, 31, 35, 35]"
2.0,0.5,0.8,4.5,L0,12,6,4.0,"[36, 36]"
2.0,0.5,0.8,4.5,L0,13,6,0.0,"[35, 35]"
2.0,0.5,0.8,4.5,L0,14,6,1.0,"[30, 30]"
2.0,0.5,0.8,4.5,L0,15,14,1.0,"[28, 27, 31, 31]"
2.0,0.5,0.8,4.5,L0,16,6,8.0,"[35, 35]"
2.0,0.5,0.8,4.5,L0,17,14,1.0,"[26, 25, 29, 29]"
2.0,0.5,0.8,4.5,L0,18,10,0.0,"[29, 33, 33]"
2.0,0.5,0.8,4.5,L0,19,6,1.0,"[27, 27]"
2.0,0.5,0.8,4.5,L0,20,6,4.0,"[29, 29]"
2.0,0.5,0.8,4.5,L0,21,6,6.0,"[36, 36]"
2.0,0.5,0.8,4.5,L0,22,14,1.0,"[26, 25, 29, 29]"
2.0,0.5,0.8,4.5,L0,23,18,0.0,"[25, 29, 33, 34, 34]"
2.0,0.5,0.8,4.5,L0,24,6,6.0,"[36, 36]"
2.0,0.5,0.8,4.5,L0,25,6,6.0,"[33, 33]"
2.0,0.5,0.8,4.5,L0,26,14,1.0,"[31, 30, 34, 34]"
2.0,0.5,0.8,4.5,L0,27,14,0.0,"[25, 29, 33, 33]"
2.0,0.5,0.8,4.5,L0,28,18,0.0,"[29, 33, 34, 35, 35]"
2.0,0.5,0.8,4.5,L0,29,10,1.0,"[26, 30, 30]"
2.0,0.5,0.8,4.5,L0,30,6,7.0,"[34, 34]"
2.0,0.5,0.8,4.5,L0,31,6,3.0,"[35, 35]"
2.0,0.5,0.8,4.5,L0,32,6,2.0,"[35, 35]"
2.0,0.5,0.8,4.5,L0,33,10,0.0,"[30, 34, 34]"
2.0,0.5,0.8,4.5,L0,34,6,8.0,"[34, 34]"
2.0,0.5,0.8,4.5,L0,35,6,5.0,"[30, 30]"
2.0,0.5,0.8,4.5,L0,36,14,1.0,"[28, 27, 31, 31]"
2.0,0.5,0.8,4.5,L0,37,6,5.0,"[35, 35]"
2.0,0.5,0.8,4.5,L0,38,6,5.0,"[30, 30]"
2.0,0.5,0.8,4.5,L0,39,10,0.0,"[35, 36, 36]"
2.0,0.5,0.8,4.5,L0,40,10,1.0,"[27, 28, 28]"
2.0,0.5,0.8,4.5,L0,41,14,1.0,"[26, 30, 34, 34]"
2.0,0.5,0.8,4.5,L0,42,6,4.0,"[32, 32]"
2.0,0.5,0.8,4.5,L0,43,6,2.0,"[31, 31]"
2.0,0.5,0.8,4.5,L0,44,10,1.0,"[27, 31, 31]"
2.0,0.5,0.8,4.5,L0,45,6,1.0,"[36, 36]"
2.0,0.5,0.8,4.5,L0,46,6,7.0,"[33, 33]"
2.0,0.5,0.8,4.5,L0,47,14,0.0,"[25, 29, 33, 33]"
2.0,0.5,0.8,4.5,L0,48,14,1.0,"[26, 30, 34, 34]"
2.0,0.5,0.8,4.5,L0,49,10,1.0,"[25, 26, 26]"
2.0,0.5,0.8,4.5,L0,50,10,0.0,"[34, 35, 35]"
