init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.8,4.0,L0,8.92,1.875
2.0,0.5,0.8,4.0,L50,8.72,1.335
2.0,0.5,0.8,4.0,L100,7.9,0.975
2.0,0.5,0.8,4.5,L0,10.34,1.545
2.0,0.5,0.8,4.5,L50,9.16,1.62
2.0,0.5,0.8,4.5,L100,8.96,1.065
2.0,0.5,0.8500000000000001,4.0,L0,9.12,1.925
2.0,0.5,0.8500000000000001,4.0,L50,10.14,1.185
2.0,0.5,0.8500000000000001,4.0,L100,8.68,0.89
2.0,0.5,0.8500000000000001,4.5,L0,10.68,1.88
2.0,0.5,0.8500000000000001,4.5,L50,10.05,1.45
2.0,0.5,0.8500000000000001,4.5,L100,9.45,1.26
2.0,1.0,0.8,4.0,L0,8.88,2.14
2.0,1.0,0.8,4.0,L50,8.72,1.52
2.0,1.0,0.8,4.0,L100,8.36,1.13
2.0,1.0,0.8,4.5,L0,9.4,1.615
2.0,1.0,0.8,4.5,L50,9.0,1.58
2.0,1.0,0.8,4.5,L100,8.6,1.07
2.0,1.0,0.8500000000000001,4.0,L0,9.54,1.895
2.0,1.0,0.8500000000000001,4.0,L50,8.8,1.225
2.0,1.0,0.8500000000000001,4.0,L100,8.58,0.77
2.0,1.0,0.8500000000000001,4.5,L0,8.96,1.84
2.0,1.0,0.8500000000000001,4.5,L50,9.32,1.43
2.0,1.0,0.8500000000000001,4.5,L100,8.5,1.13
2.5,0.5,0.8,4.0,L0,8.9,2.005
2.5,0.5,0.8,4.0,L50,8.8,1.425
2.5,0.5,0.8,4.0,L100,8.46,1.025
2.5,0.5,0.8,4.5,L0,9.4,1.965
2.5,0.5,0.8,4.5,L50,9.02,1.36
2.5,0.5,0.8,4.5,L100,9.1,1.285
2.5,0.5,0.8500000000000001,4.0,L0,9.52,1.775
2.5,0.5,0.8500000000000001,4.0,L50,9.86,1.47
2.5,0.5,0.8500000000000001,4.0,L100,9.22,1.055
2.5,0.5,0.8500000000000001,4.5,L0,10.39,1.955
2.5,0.5,0.8500000000000001,4.5,L50,10.56,1.555
2.5,0.5,0.8500000000000001,4.5,L100,9.59,1.13
2.5,1.0,0.8,4.0,L0,9.16,1.775
2.5,1.0,0.8,4.0,L50,8.7,1.525
2.5,1.0,0.8,4.0,L100,8.42,0.945
2.5,1.0,0.8,4.5,L0,9.38,2.17
2.5,1.0,0.8,4.5,L50,8.34,1.965
2.5,1.0,0.8,4.5,L100,8.22,1.14
2.5,1.0,0.8500000000000001,4.0,L0,9.5,1.89
2.5,1.0,0.8500000000000001,4.0,L50,8.5,1.42
2.5,1.0,0.8500000000000001,4.0,L100,8.04,1.06
2.5,1.0,0.8500000000000001,4.5,L0,9.48,1.83
2.5,1.0,0.8500000000000001,4.5,L50,8.78,1.665
2.5,1.0,0.8500000000000001,4.5,L100,8.62,1.045
