agent_name,layout,event_update_level,num_attention_switches,num_attention_switches_margins,num_attention_switches_middle,inform_loss,reading_speed,total_steps,attention_switches_time_steps_list
agent_a,L0,short,12,4,8,0,0.8929,112,"[10, 20, 30, 40, 50, 60, 61, 62, 72, 82, 92, 102]"
agent_a,L0,short,15,10,5,8,0.8696,115,"[4, 10, 20, 30, 40, 41, 51, 52, 53, 54, 65, 75, 85, 95, 105]"
agent_a,L0,short,17,7,10,10,0.8547,117,"[4, 10, 20, 21, 22, 23, 34, 44, 55, 65, 74, 84, 94, 104, 105, 106, 107]"
agent_a,L0,short,17,11,6,3,0.8547,117,"[10, 11, 21, 31, 32, 33, 34, 44, 45, 46, 57, 67, 77, 87, 97, 107, 108]"
agent_a,L0,short,16,11,5,1,0.8621,116,"[4, 10, 11, 21, 22, 23, 34, 44, 45, 56, 66, 76, 87, 97, 98, 108]"
agent_a,L0,short,13,4,9,4,0.885,113,"[10, 20, 30, 40, 50, 60, 61, 71, 81, 91, 92, 93, 103]"
agent_a,L0,short,15,6,9,2,0.8696,115,"[10, 20, 30, 40, 50, 51, 61, 62, 72, 73, 83, 84, 94, 95, 105]"
agent_a,L0,short,16,9,7,4,0.8621,116,"[4, 10, 20, 30, 40, 50, 51, 61, 62, 73, 74, 84, 85, 95, 105, 106]"
agent_a,L0,short,19,9,10,1,0.8403,119,"[10, 20, 21, 22, 23, 33, 43, 53, 64, 65, 75, 85, 86, 96, 97, 107, 108, 109, 110]"
agent_a,L0,short,20,9,11,0,0.8333,120,"[10, 20, 21, 31, 41, 51, 61, 62, 72, 73, 83, 84, 85, 86, 87, 97, 107, 108, 109, 110]"
agent_a,L0,short,16,11,5,5,0.8621,116,"[4, 10, 11, 12, 13, 14, 24, 25, 36, 47, 58, 68, 79, 89, 99, 110]"
agent_a,L0,short,14,8,6,1,0.8772,114,"[10, 11, 21, 31, 41, 42, 43, 44, 54, 65, 75, 85, 95, 105]"
agent_a,L0,short,11,5,6,3,0.9009,111,"[10, 20, 30, 40, 50, 60, 70, 80, 81, 91, 101]"
agent_a,L0,short,16,6,10,1,0.8621,116,"[10, 20, 21, 22, 23, 24, 25, 35, 45, 56, 66, 76, 86, 96, 106, 107]"
