perturbation_amp_tuning_factor,perturbation_amp_noise_scale,train_mean_ratio,test_mean_ratio,sim_mean_ratio
0.01,0.006,0.9012723254999999,0.9838586939999999,0.9076923076923076
0.0,0.004,0.9656945651666667,0.9194364543333334,0.9672131147540984
0.0,0.004,0.9619914765,0.923139543,0.9672131147540984
0.0,0.002,1.0113699528333333,0.8737610666666668,1.0172413793103448
0.04,0.004,0.9398357274999999,0.945295292,0.9365079365079364
0.0,0.001,0.9840584083333334,0.9010726111666667,0.9833333333333332
0.08,0.005,0.9471518199999999,0.9379791995,0.9516129032258064
0.0,0.004,0.9620363663333333,0.9230946531666667,0.9672131147540984
0.0,0.006,0.8771328966666667,1.0079981228333335,0.8805970149253731
0.08,0.005,0.9471306718333333,0.9380003476666667,0.9516129032258064
0.08,0.005,0.9577150090000001,0.9274160105,0.9516129032258064
0.01,0.006,0.9143918918333332,0.9707391276666667,0.9076923076923076
0.02,0.008,0.8602376791666667,1.0248933403333333,0.855072463768116
0.0,0.002,1.0105234773333334,0.8746075421666667,1.0172413793103448
0.01,0.006,0.9109293063333334,0.9742017131666668,0.9076923076923076
0.0,0.002,1.0118458181666667,0.8732852013333333,1.0172413793103448
0.03,0.007,0.8668240778333334,1.0183069416666666,0.8676470588235294
0.0,0.001,0.9891952478333335,0.8959357716666667,0.9833333333333332
0.08,0.005,0.9443648141666666,0.9407662053333333,0.9516129032258064
0.08,0.005,0.9475369298333334,0.9375940896666667,0.9516129032258064
0.0,0.0,0.9974488008333333,0.8876822186666667,1.0
0.0,0.002,1.0244895191666668,0.8606415003333333,1.0172413793103448
0.01,0.004,1.0323729138333333,0.8527581056666667,1.0350877192982455
0.01,0.004,1.0326859795,0.8524450400000001,1.0350877192982455
0.0,0.006,0.8821602693333332,1.0029707501666667,0.8805970149253731
0.0,0.004,0.970426062,0.9147049575,0.9672131147540984
0.0,0.004,0.9710295975,0.914101422,0.9672131147540984
0.0,0.002,1.0117737740000001,0.8733572454999999,1.0172413793103448
0.08,0.005,0.9483516195,0.9367794000000002,0.9516129032258064
0.0,0.006,0.8825640905,1.002566929,0.8805970149253731
0.04,0.004,0.9368701555,0.948260864,0.9365079365079364
0.0,0.001,0.9819949435,0.903136076,0.9833333333333332
0.08,0.005,0.9517449358333332,0.9333860836666669,0.9516129032258064
0.03,0.007,0.8682299425000001,1.016901077,0.8676470588235294
0.08,0.005,0.9570992706666667,0.9280317488333333,0.9516129032258064
0.02,0.007,0.9170669939999999,0.9680640255,0.921875
0.04,0.01,0.8964298698333334,0.9887011496666668,0.8939393939393939
0.02,0.007,0.9222978823333334,0.9628331371666666,0.921875
0.0,0.009,0.8346832108333334,1.0504478086666666,0.8309859154929577
0.01,0.004,1.0426643443333334,0.8424666751666666,1.0350877192982455
0.0,0.004,0.9698656963333333,0.9152653231666666,0.9672131147540984
0.02,0.007,0.9152204333333334,0.9699105861666668,0.921875
0.04,0.01,0.8873324621666666,0.9977985573333332,0.8939393939393939
0.04,0.004,0.9310960913333334,0.9540349281666667,0.9365079365079364
0.04,0.004,0.9423152163333333,0.9428158031666668,0.9365079365079364
0.0,0.001,0.9909427875000002,0.894188232,0.9833333333333332
0.08,0.005,0.9475369298333334,0.9375940896666667,0.9516129032258064
0.0,0.001,0.9810848213333333,0.9040461981666666,0.9833333333333332
0.04,0.004,0.9423152163333333,0.9428158031666668,0.9365079365079364
0.0,0.001,0.9866147856666666,0.8985162338333333,0.9833333333333332
0.04,0.004,0.9329518268333334,0.9521791926666667,0.9365079365079364
0.0,0.002,1.0145396316666666,0.8705913878333335,1.0172413793103448
0.0,0.002,1.0220192051666668,0.8631118143333333,1.0172413793103448
0.01,0.004,1.045420436,0.8397105835,1.0350877192982455
0.04,0.01,0.8872971088333333,0.9978339106666666,0.8939393939393939
0.0,0.004,0.9744422163333333,0.9106888031666668,0.9672131147540984
0.04,0.004,0.9387892786666666,0.9463417408333333,0.9365079365079364
0.0,0.004,0.9675134258333333,0.9176175936666667,0.9672131147540984
0.04,0.004,0.942097721,0.9430332985000001,0.9365079365079364
0.04,0.004,0.9370698698333335,0.9480611496666667,0.9365079365079364
0.04,0.01,0.8927636560000001,0.9923673635,0.8939393939393939
0.0,0.0,0.9997561815,0.885374838,1.0
0.04,0.01,0.8885556499999999,0.9965753695,0.8939393939393939
0.04,0.01,0.8952798356666666,0.9898511838333334,0.8939393939393939
0.08,0.005,0.9570805593333334,0.9280504601666667,0.9516129032258064
0.0,0.004,0.9656945651666667,0.9194364543333333,0.9672131147540984
0.04,0.01,0.8983067535,0.9868242660000001,0.8939393939393939
0.01,0.006,0.9104050865,0.9747259330000001,0.9076923076923076
0.08,0.005,0.9565511078333334,0.9285799116666666,0.9516129032258064
0.01,0.006,0.9054981125,0.979632907,0.9076923076923076
0.0,0.001,0.9778671345,0.9072638850000002,0.9833333333333332
0.02,0.008,0.8578762338333333,1.0272547856666667,0.855072463768116
0.01,0.006,0.9037379473333332,0.9813930721666667,0.9076923076923076
0.02,0.007,0.916119997,0.9690110225,0.921875
0.04,0.004,0.9338160833333333,0.9513149361666667,0.9365079365079364
0.08,0.005,0.9500986806666667,0.9350323388333334,0.9516129032258064
0.04,0.004,0.9357383541666667,0.9493926653333333,0.9365079365079364
0.0,0.0,0.9960609156666665,0.8890701038333334,1.0
0.08,0.005,0.9494829423333333,0.9356480771666668,0.9516129032258064
0.0,0.004,0.973797892,0.9113331275000002,0.9672131147540984
0.0,0.004,0.9707391276666667,0.9143918918333332,0.9672131147540984
0.01,0.006,0.9076489948333334,0.9774820246666667,0.9076923076923076
0.08,0.005,0.9573064956666668,0.9278245238333334,0.9516129032258064
0.0,0.0,0.9973947361666666,0.8877362833333334,1.0
0.04,0.004,0.9365721749999999,0.9485588444999999,0.9365079365079364
0.0,0.0,1.0063425801666666,0.8787884393333333,1.0
0.02,0.007,0.9223025745000001,0.9628284450000001,0.921875
0.0,0.004,0.9682735058333334,0.9168575136666668,0.9672131147540984
0.08,0.005,0.9487367293333334,0.9363942901666666,0.9516129032258064
0.08,0.005,0.9593163743333334,0.9258146451666667,0.9516129032258064
