init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.9,4.5,0.6500000000000001,5.0,L100,55.9,1.22
0.9,4.5,0.7000000000000002,1.0,L0,64.04,1.72
0.9,4.5,0.7000000000000002,1.0,L50,20.76,3.86
0.9,4.5,0.7000000000000002,1.0,L100,22.38,3.7
0.9,4.5,0.7000000000000002,1.5,L0,54.26,0.84
0.9,4.5,0.7000000000000002,1.5,L50,32.06,3.52
0.9,4.5,0.7000000000000002,1.5,L100,33.74,3.34
0.9,4.5,0.7000000000000002,2.0,L0,55.14,0.98
0.9,4.5,0.7000000000000002,2.0,L50,45.62,2.16
0.9,4.5,0.7000000000000002,2.0,L100,35.48,2.91
0.9,4.5,0.7000000000000002,2.5,L0,61.04,0.88
0.9,4.5,0.7000000000000002,2.5,L50,60.02,1.4
0.9,4.5,0.7000000000000002,2.5,L100,46.62,3.08
0.9,4.5,0.7000000000000002,3.0,L0,68.84,0.8
0.9,4.5,0.7000000000000002,3.0,L50,68.6,1.07
0.9,4.5,0.7000000000000002,3.0,L100,49.32,2.73
0.9,4.5,0.7000000000000002,3.5,L0,72.54,1.22
0.9,4.5,0.7000000000000002,3.5,L50,55.78,1.09
0.9,4.5,0.7000000000000002,3.5,L100,51.62,2.05
0.9,4.5,0.7000000000000002,4.0,L0,50.06,1.45
0.9,4.5,0.7000000000000002,4.0,L50,57.5,0.97
0.9,4.5,0.7000000000000002,4.0,L100,52.2,1.98
0.9,4.5,0.7000000000000002,4.5,L0,42.38,0.88
0.9,4.5,0.7000000000000002,4.5,L50,51.84,0.66
0.9,4.5,0.7000000000000002,4.5,L100,59.46,1.39
0.9,4.5,0.7000000000000002,5.0,L0,61.58,1.38
0.9,4.5,0.7000000000000002,5.0,L50,57.32,0.55
0.9,4.5,0.7000000000000002,5.0,L100,59.04,0.97
0.9,4.5,0.7500000000000002,1.0,L0,73.92,1.6
0.9,4.5,0.7500000000000002,1.0,L50,21.12,3.49
0.9,4.5,0.7500000000000002,1.0,L100,22.32,3.08
0.9,4.5,0.7500000000000002,1.5,L0,53.0,0.81
0.9,4.5,0.7500000000000002,1.5,L50,28.32,2.93
0.9,4.5,0.7500000000000002,1.5,L100,25.76,3.15
0.9,4.5,0.7500000000000002,2.0,L0,55.08,0.73
0.9,4.5,0.7500000000000002,2.0,L50,47.96,2.71
0.9,4.5,0.7500000000000002,2.0,L100,35.12,2.99
0.9,4.5,0.7500000000000002,2.5,L0,58.68,0.86
0.9,4.5,0.7500000000000002,2.5,L50,57.98,1.0
0.9,4.5,0.7500000000000002,2.5,L100,39.0,2.94
0.9,4.5,0.7500000000000002,3.0,L0,66.14,1.41
0.9,4.5,0.7500000000000002,3.0,L50,62.78,0.61
0.9,4.5,0.7500000000000002,3.0,L100,44.98,1.99
0.9,4.5,0.7500000000000002,3.5,L0,62.82,0.93
0.9,4.5,0.7500000000000002,3.5,L50,48.04,0.64
0.9,4.5,0.7500000000000002,3.5,L100,49.8,1.93
0.9,4.5,0.7500000000000002,4.0,L0,46.42,1.32
0.9,4.5,0.7500000000000002,4.0,L50,52.1,0.64
0.9,4.5,0.7500000000000002,4.0,L100,60.54,1.41
0.9,4.5,0.7500000000000002,4.5,L0,48.46,0.95
0.9,4.5,0.7500000000000002,4.5,L50,56.3,0.51
0.9,4.5,0.7500000000000002,4.5,L100,64.58,0.92
0.9,4.5,0.7500000000000002,5.0,L0,53.78,0.86
0.9,4.5,0.7500000000000002,5.0,L50,55.1,0.72
0.9,4.5,0.7500000000000002,5.0,L100,61.24,0.86
0.9,4.5,0.8000000000000003,1.0,L0,68.8,1.44
0.9,4.5,0.8000000000000003,1.0,L50,21.1,3.81
0.9,4.5,0.8000000000000003,1.0,L100,20.96,3.71
0.9,4.5,0.8000000000000003,1.5,L0,63.74,1.16
0.9,4.5,0.8000000000000003,1.5,L50,28.38,3.24
0.9,4.5,0.8000000000000003,1.5,L100,22.08,2.86
0.9,4.5,0.8000000000000003,2.0,L0,60.12,0.53
0.9,4.5,0.8000000000000003,2.0,L50,50.8,2.29
0.9,4.5,0.8000000000000003,2.0,L100,34.1,3.03
0.9,4.5,0.8000000000000003,2.5,L0,63.4,1.21
0.9,4.5,0.8000000000000003,2.5,L50,70.48,0.67
0.9,4.5,0.8000000000000003,2.5,L100,48.68,3.12
0.9,4.5,0.8000000000000003,3.0,L0,59.18,0.87
0.9,4.5,0.8000000000000003,3.0,L50,70.24,0.9
0.9,4.5,0.8000000000000003,3.0,L100,56.7,1.97
0.9,4.5,0.8000000000000003,3.5,L0,70.22,1.32
0.9,4.5,0.8000000000000003,3.5,L50,53.56,0.6
0.9,4.5,0.8000000000000003,3.5,L100,67.54,1.91
0.9,4.5,0.8000000000000003,4.0,L0,56.24,1.05
0.9,4.5,0.8000000000000003,4.0,L50,52.32,0.64
0.9,4.5,0.8000000000000003,4.0,L100,61.66,1.47
0.9,4.5,0.8000000000000003,4.5,L0,53.96,1.33
0.9,4.5,0.8000000000000003,4.5,L50,60.26,0.66
0.9,4.5,0.8000000000000003,4.5,L100,61.24,0.77
0.9,4.5,0.8000000000000003,5.0,L0,53.96,1.2
0.9,4.5,0.8000000000000003,5.0,L50,63.54,1.04
0.9,4.5,0.8000000000000003,5.0,L100,54.32,0.65
0.9,4.5,0.8500000000000003,1.0,L0,66.8,1.28
0.9,4.5,0.8500000000000003,1.0,L50,18.52,3.59
0.9,4.5,0.8500000000000003,1.0,L100,20.3,3.29
0.9,4.5,0.8500000000000003,1.5,L0,53.34,0.85
0.9,4.5,0.8500000000000003,1.5,L50,22.72,3.13
0.9,4.5,0.8500000000000003,1.5,L100,23.26,2.96
0.9,4.5,0.8500000000000003,2.0,L0,57.86,0.94
0.9,4.5,0.8500000000000003,2.0,L50,50.36,1.78
0.9,4.5,0.8500000000000003,2.0,L100,35.32,2.87
0.9,4.5,0.8500000000000003,2.5,L0,60.94,1.02
0.9,4.5,0.8500000000000003,2.5,L50,67.6,1.41
0.9,4.5,0.8500000000000003,2.5,L100,49.56,2.52
0.9,4.5,0.8500000000000003,3.0,L0,65.44,1.53
0.9,4.5,0.8500000000000003,3.0,L50,65.34,0.59
0.9,4.5,0.8500000000000003,3.0,L100,56.64,2.39
0.9,4.5,0.8500000000000003,3.5,L0,67.96,1.21
0.9,4.5,0.8500000000000003,3.5,L50,53.04,0.48
0.9,4.5,0.8500000000000003,3.5,L100,65.78,1.73
0.9,4.5,0.8500000000000003,4.0,L0,56.56,1.24
0.9,4.5,0.8500000000000003,4.0,L50,58.4,0.66
0.9,4.5,0.8500000000000003,4.0,L100,62.9,0.99
0.9,4.5,0.8500000000000003,4.5,L0,48.82,1.19
0.9,4.5,0.8500000000000003,4.5,L50,56.0,1.26
0.9,4.5,0.8500000000000003,4.5,L100,60.76,1.19
0.9,4.5,0.8500000000000003,5.0,L0,55.64,1.12
0.9,4.5,0.8500000000000003,5.0,L50,53.42,0.9
0.9,4.5,0.8500000000000003,5.0,L100,56.34,0.47
0.9,4.5,0.9000000000000004,1.0,L0,74.42,1.49
0.9,4.5,0.9000000000000004,1.0,L50,18.76,3.87
0.9,4.5,0.9000000000000004,1.0,L100,20.08,3.34
0.9,4.5,0.9000000000000004,1.5,L0,60.76,0.92
0.9,4.5,0.9000000000000004,1.5,L50,27.44,2.5
0.9,4.5,0.9000000000000004,1.5,L100,21.54,3.07
0.9,4.5,0.9000000000000004,2.0,L0,64.16,0.88
0.9,4.5,0.9000000000000004,2.0,L50,58.7,1.4
0.9,4.5,0.9000000000000004,2.0,L100,34.92,3.41
0.9,4.5,0.9000000000000004,2.5,L0,66.62,1.26
0.9,4.5,0.9000000000000004,2.5,L50,66.46,0.98
0.9,4.5,0.9000000000000004,2.5,L100,56.76,2.57
0.9,4.5,0.9000000000000004,3.0,L0,69.12,1.52
0.9,4.5,0.9000000000000004,3.0,L50,68.6,0.58
0.9,4.5,0.9000000000000004,3.0,L100,67.96,1.99
0.9,4.5,0.9000000000000004,3.5,L0,72.52,1.76
0.9,4.5,0.9000000000000004,3.5,L50,46.62,0.51
0.9,4.5,0.9000000000000004,3.5,L100,66.44,1.32
0.9,4.5,0.9000000000000004,4.0,L0,46.2,0.69
0.9,4.5,0.9000000000000004,4.0,L50,60.9,0.62
0.9,4.5,0.9000000000000004,4.0,L100,57.78,0.92
0.9,4.5,0.9000000000000004,4.5,L0,56.18,1.6
0.9,4.5,0.9000000000000004,4.5,L50,61.78,0.79
0.9,4.5,0.9000000000000004,4.5,L100,64.02,0.65
0.9,4.5,0.9000000000000004,5.0,L0,60.96,1.67
0.9,4.5,0.9000000000000004,5.0,L50,56.86,1.18
0.9,4.5,0.9000000000000004,5.0,L100,65.82,0.51
0.9,4.5,0.9500000000000004,1.0,L0,82.02,1.14
0.9,4.5,0.9500000000000004,1.0,L50,19.92,3.77
0.9,4.5,0.9500000000000004,1.0,L100,18.44,3.76
0.9,4.5,0.9500000000000004,1.5,L0,62.86,0.86
0.9,4.5,0.9500000000000004,1.5,L50,29.56,2.72
0.9,4.5,0.9500000000000004,1.5,L100,19.84,3.52
0.9,4.5,0.9500000000000004,2.0,L0,59.32,0.88
0.9,4.5,0.9500000000000004,2.0,L50,50.56,0.89
0.9,4.5,0.9500000000000004,2.0,L100,42.3,3.38
0.9,4.5,0.9500000000000004,2.5,L0,61.46,1.18
0.9,4.5,0.9500000000000004,2.5,L50,64.02,0.8
0.9,4.5,0.9500000000000004,2.5,L100,64.22,2.21
0.9,4.5,0.9500000000000004,3.0,L0,66.04,1.56
0.9,4.5,0.9500000000000004,3.0,L50,70.22,0.5
0.9,4.5,0.9500000000000004,3.0,L100,73.54,2.09
0.9,4.5,0.9500000000000004,3.5,L0,67.46,1.24
0.9,4.5,0.9500000000000004,3.5,L50,57.32,0.76
0.9,4.5,0.9500000000000004,3.5,L100,60.22,1.71
0.9,4.5,0.9500000000000004,4.0,L0,50.82,1.33
0.9,4.5,0.9500000000000004,4.0,L50,55.34,0.86
0.9,4.5,0.9500000000000004,4.0,L100,71.5,0.67
0.9,4.5,0.9500000000000004,4.5,L0,55.14,1.14
0.9,4.5,0.9500000000000004,4.5,L50,55.7,0.89
0.9,4.5,0.9500000000000004,4.5,L100,67.34,0.62
0.9,4.5,0.9500000000000004,5.0,L0,56.54,1.5
0.9,4.5,0.9500000000000004,5.0,L50,55.26,1.23
0.9,4.5,0.9500000000000004,5.0,L100,60.96,0.68
0.9,4.5,1.0000000000000004,1.0,L0,75.56,1.35
0.9,4.5,1.0000000000000004,1.0,L50,19.32,3.19
0.9,4.5,1.0000000000000004,1.0,L100,19.4,3.36
0.9,4.5,1.0000000000000004,1.5,L0,66.76,0.96
0.9,4.5,1.0000000000000004,1.5,L50,42.82,2.37
0.9,4.5,1.0000000000000004,1.5,L100,26.02,2.92
0.9,4.5,1.0000000000000004,2.0,L0,65.52,1.15
0.9,4.5,1.0000000000000004,2.0,L50,59.0,0.78
0.9,4.5,1.0000000000000004,2.0,L100,37.98,2.01
0.9,4.5,1.0000000000000004,2.5,L0,56.14,0.92
0.9,4.5,1.0000000000000004,2.5,L50,75.7,0.75
0.9,4.5,1.0000000000000004,2.5,L100,64.44,1.69
0.9,4.5,1.0000000000000004,3.0,L0,63.32,1.65
0.9,4.5,1.0000000000000004,3.0,L50,67.38,0.54
0.9,4.5,1.0000000000000004,3.0,L100,74.24,1.04
0.9,4.5,1.0000000000000004,3.5,L0,70.84,1.33
0.9,4.5,1.0000000000000004,3.5,L50,55.22,1.03
0.9,4.5,1.0000000000000004,3.5,L100,72.6,0.91
0.9,4.5,1.0000000000000004,4.0,L0,60.34,1.69
0.9,4.5,1.0000000000000004,4.0,L50,59.7,1.34
0.9,4.5,1.0000000000000004,4.0,L100,67.26,0.76
0.9,4.5,1.0000000000000004,4.5,L0,63.92,1.2
0.9,4.5,1.0000000000000004,4.5,L50,55.6,2.09
0.9,4.5,1.0000000000000004,4.5,L100,69.56,0.81
0.9,4.5,1.0000000000000004,5.0,L0,59.12,1.08
0.9,4.5,1.0000000000000004,5.0,L50,48.56,0.69
0.9,4.5,1.0000000000000004,5.0,L100,53.02,0.56
0.9,5.0,0.5,1.0,L0,70.8,2.14
0.9,5.0,0.5,1.0,L50,25.36,4.12
0.9,5.0,0.5,1.0,L100,21.02,3.23
0.9,5.0,0.5,1.5,L0,74.14,1.15
0.9,5.0,0.5,1.5,L50,44.22,3.31
0.9,5.0,0.5,1.5,L100,57.74,3.45
0.9,5.0,0.5,2.0,L0,61.96,0.96
0.9,5.0,0.5,2.0,L50,48.12,2.59
0.9,5.0,0.5,2.0,L100,45.08,3.98
0.9,5.0,0.5,2.5,L0,74.44,1.16
0.9,5.0,0.5,2.5,L50,53.0,2.45
0.9,5.0,0.5,2.5,L100,46.58,3.06
0.9,5.0,0.5,3.0,L0,73.7,1.13
0.9,5.0,0.5,3.0,L50,59.5,1.52
0.9,5.0,0.5,3.0,L100,41.14,3.33
0.9,5.0,0.5,3.5,L0,78.24,1.29
0.9,5.0,0.5,3.5,L50,66.4,1.33
0.9,5.0,0.5,3.5,L100,41.42,2.55
0.9,5.0,0.5,4.0,L0,64.68,1.3
