init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
1.0,4.5,0.6500000000000001,3.0,L50,38.98,0.76
1.0,4.5,0.6500000000000001,3.0,L100,13.9,0.85
1.0,4.5,0.6500000000000001,3.5,L0,59.98,0.52
1.0,4.5,0.6500000000000001,3.5,L50,47.72,0.65
1.0,4.5,0.6500000000000001,3.5,L100,29.96,0.94
1.0,4.5,0.6500000000000001,4.0,L0,57.7,0.77
1.0,4.5,0.6500000000000001,4.0,L50,54.22,0.7
1.0,4.5,0.6500000000000001,4.0,L100,46.32,0.96
1.0,4.5,0.6500000000000001,4.5,L0,61.46,1.08
1.0,4.5,0.6500000000000001,4.5,L50,48.58,0.43
1.0,4.5,0.6500000000000001,4.5,L100,53.98,0.78
1.0,4.5,0.6500000000000001,5.0,L0,66.46,1.17
1.0,4.5,0.6500000000000001,5.0,L50,48.14,0.49
1.0,4.5,0.6500000000000001,5.0,L100,53.66,0.49
1.0,4.5,0.7000000000000002,1.0,L0,7.52,0.27
1.0,4.5,0.7000000000000002,1.0,L50,6.0,0.04
1.0,4.5,0.7000000000000002,1.0,L100,6.0,0.02
1.0,4.5,0.7000000000000002,1.5,L0,27.42,0.49
1.0,4.5,0.7000000000000002,1.5,L50,6.0,0.17
1.0,4.5,0.7000000000000002,1.5,L100,6.0,0.23
1.0,4.5,0.7000000000000002,2.0,L0,44.36,0.52
1.0,4.5,0.7000000000000002,2.0,L50,10.84,0.57
1.0,4.5,0.7000000000000002,2.0,L100,7.8,0.45
1.0,4.5,0.7000000000000002,2.5,L0,62.9,0.71
1.0,4.5,0.7000000000000002,2.5,L50,30.6,0.86
1.0,4.5,0.7000000000000002,2.5,L100,10.48,0.47
1.0,4.5,0.7000000000000002,3.0,L0,64.06,0.73
1.0,4.5,0.7000000000000002,3.0,L50,37.24,0.51
1.0,4.5,0.7000000000000002,3.0,L100,16.12,0.9
1.0,4.5,0.7000000000000002,3.5,L0,56.32,0.93
1.0,4.5,0.7000000000000002,3.5,L50,46.9,0.7
1.0,4.5,0.7000000000000002,3.5,L100,33.5,0.95
1.0,4.5,0.7000000000000002,4.0,L0,58.58,0.83
1.0,4.5,0.7000000000000002,4.0,L50,58.64,0.57
1.0,4.5,0.7000000000000002,4.0,L100,47.0,0.71
1.0,4.5,0.7000000000000002,4.5,L0,64.74,1.3
1.0,4.5,0.7000000000000002,4.5,L50,57.52,0.42
1.0,4.5,0.7000000000000002,4.5,L100,53.28,0.68
1.0,4.5,0.7000000000000002,5.0,L0,54.4,1.07
1.0,4.5,0.7000000000000002,5.0,L50,43.36,0.64
1.0,4.5,0.7000000000000002,5.0,L100,48.46,0.51
1.0,4.5,0.7500000000000002,1.0,L0,13.2,0.34
1.0,4.5,0.7500000000000002,1.0,L50,6.0,0.01
1.0,4.5,0.7500000000000002,1.0,L100,6.0,0.02
1.0,4.5,0.7500000000000002,1.5,L0,36.5,0.42
1.0,4.5,0.7500000000000002,1.5,L50,6.0,0.16
1.0,4.5,0.7500000000000002,1.5,L100,6.0,0.19
1.0,4.5,0.7500000000000002,2.0,L0,46.84,0.37
1.0,4.5,0.7500000000000002,2.0,L50,11.94,0.68
1.0,4.5,0.7500000000000002,2.0,L100,6.8,0.41
1.0,4.5,0.7500000000000002,2.5,L0,57.56,0.72
1.0,4.5,0.7500000000000002,2.5,L50,27.36,0.68
1.0,4.5,0.7500000000000002,2.5,L100,9.8,0.71
1.0,4.5,0.7500000000000002,3.0,L0,59.44,0.41
1.0,4.5,0.7500000000000002,3.0,L50,40.44,0.47
1.0,4.5,0.7500000000000002,3.0,L100,15.48,0.89
1.0,4.5,0.7500000000000002,3.5,L0,63.28,0.91
1.0,4.5,0.7500000000000002,3.5,L50,56.68,0.86
1.0,4.5,0.7500000000000002,3.5,L100,39.4,0.96
1.0,4.5,0.7500000000000002,4.0,L0,56.24,1.07
1.0,4.5,0.7500000000000002,4.0,L50,51.98,0.35
1.0,4.5,0.7500000000000002,4.0,L100,46.6,0.65
1.0,4.5,0.7500000000000002,4.5,L0,52.5,1.14
1.0,4.5,0.7500000000000002,4.5,L50,48.66,0.29
1.0,4.5,0.7500000000000002,4.5,L100,48.26,0.42
1.0,4.5,0.7500000000000002,5.0,L0,60.98,1.2
1.0,4.5,0.7500000000000002,5.0,L50,47.08,0.67
1.0,4.5,0.7500000000000002,5.0,L100,54.6,0.32
1.0,4.5,0.8000000000000003,1.0,L0,11.98,0.43
1.0,4.5,0.8000000000000003,1.0,L50,6.0,0.05
1.0,4.5,0.8000000000000003,1.0,L100,6.0,0.02
1.0,4.5,0.8000000000000003,1.5,L0,29.12,0.52
1.0,4.5,0.8000000000000003,1.5,L50,6.08,0.19
1.0,4.5,0.8000000000000003,1.5,L100,6.08,0.23
1.0,4.5,0.8000000000000003,2.0,L0,49.18,0.47
1.0,4.5,0.8000000000000003,2.0,L50,11.66,0.55
1.0,4.5,0.8000000000000003,2.0,L100,7.04,0.37
1.0,4.5,0.8000000000000003,2.5,L0,54.0,0.65
1.0,4.5,0.8000000000000003,2.5,L50,37.5,0.72
1.0,4.5,0.8000000000000003,2.5,L100,12.66,0.68
1.0,4.5,0.8000000000000003,3.0,L0,52.76,0.62
1.0,4.5,0.8000000000000003,3.0,L50,40.42,0.77
1.0,4.5,0.8000000000000003,3.0,L100,23.32,0.82
1.0,4.5,0.8000000000000003,3.5,L0,51.42,0.48
1.0,4.5,0.8000000000000003,3.5,L50,52.64,0.64
1.0,4.5,0.8000000000000003,3.5,L100,35.04,0.91
1.0,4.5,0.8000000000000003,4.0,L0,57.02,1.03
1.0,4.5,0.8000000000000003,4.0,L50,51.28,0.42
1.0,4.5,0.8000000000000003,4.0,L100,40.9,0.67
1.0,4.5,0.8000000000000003,4.5,L0,54.66,0.94
1.0,4.5,0.8000000000000003,4.5,L50,48.52,0.58
1.0,4.5,0.8000000000000003,4.5,L100,51.28,0.37
1.0,4.5,0.8000000000000003,5.0,L0,59.42,1.04
1.0,4.5,0.8000000000000003,5.0,L50,44.58,0.55
1.0,4.5,0.8000000000000003,5.0,L100,55.5,0.32
1.0,4.5,0.8500000000000003,1.0,L0,10.7,0.32
1.0,4.5,0.8500000000000003,1.0,L50,6.0,0.01
1.0,4.5,0.8500000000000003,1.0,L100,6.0,0.04
1.0,4.5,0.8500000000000003,1.5,L0,34.78,0.38
1.0,4.5,0.8500000000000003,1.5,L50,6.08,0.2
1.0,4.5,0.8500000000000003,1.5,L100,6.0,0.14
1.0,4.5,0.8500000000000003,2.0,L0,35.34,0.44
1.0,4.5,0.8500000000000003,2.0,L50,11.46,0.53
1.0,4.5,0.8500000000000003,2.0,L100,7.68,0.5
1.0,4.5,0.8500000000000003,2.5,L0,58.02,0.44
1.0,4.5,0.8500000000000003,2.5,L50,40.42,0.8
1.0,4.5,0.8500000000000003,2.5,L100,12.1,0.55
1.0,4.5,0.8500000000000003,3.0,L0,57.34,0.83
1.0,4.5,0.8500000000000003,3.0,L50,32.78,0.46
1.0,4.5,0.8500000000000003,3.0,L100,19.8,0.6
1.0,4.5,0.8500000000000003,3.5,L0,62.96,1.23
1.0,4.5,0.8500000000000003,3.5,L50,50.02,0.53
1.0,4.5,0.8500000000000003,3.5,L100,34.48,0.78
1.0,4.5,0.8500000000000003,4.0,L0,56.78,1.08
1.0,4.5,0.8500000000000003,4.0,L50,49.18,0.29
1.0,4.5,0.8500000000000003,4.0,L100,48.06,0.71
1.0,4.5,0.8500000000000003,4.5,L0,55.02,0.82
1.0,4.5,0.8500000000000003,4.5,L50,48.22,0.47
1.0,4.5,0.8500000000000003,4.5,L100,51.62,0.49
1.0,4.5,0.8500000000000003,5.0,L0,59.9,0.93
1.0,4.5,0.8500000000000003,5.0,L50,46.6,0.75
1.0,4.5,0.8500000000000003,5.0,L100,68.68,0.65
1.0,4.5,0.9000000000000004,1.0,L0,12.38,0.43
1.0,4.5,0.9000000000000004,1.0,L50,6.0,0.03
1.0,4.5,0.9000000000000004,1.0,L100,6.0,0.01
1.0,4.5,0.9000000000000004,1.5,L0,30.66,0.46
1.0,4.5,0.9000000000000004,1.5,L50,7.34,0.29
1.0,4.5,0.9000000000000004,1.5,L100,6.24,0.19
1.0,4.5,0.9000000000000004,2.0,L0,41.96,0.37
1.0,4.5,0.9000000000000004,2.0,L50,15.16,0.48
1.0,4.5,0.9000000000000004,2.0,L100,8.2,0.64
1.0,4.5,0.9000000000000004,2.5,L0,47.42,0.59
1.0,4.5,0.9000000000000004,2.5,L50,43.8,0.89
